Codigo,Distrito,Seccion,Establecimiento,Fecha,IdDistrito,IdSeccion,IdCircuito,Mesa,votantes,192528
1,Río Negro,Adolfo Alsina,ESC. SECUNDARIA DE RIO NEGRO N 4,12-09-2021 19:16,16,1,101,00001X,114,
1,Río Negro,Adolfo Alsina,ESC. SECUNDARIA DE RIO NEGRO N 4,12-09-2021 19:17,16,1,101,00002X,108,
1,Río Negro,Adolfo Alsina,ESC. SECUNDARIA DE RIO NEGRO N 4,12-09-2021 19:18,16,1,101,00003X,103,
1,Río Negro,Adolfo Alsina,ESC. SECUNDARIA DE RIO NEGRO N 4,12-09-2021 19:37,16,1,101,00004X,111,
1,Río Negro,Adolfo Alsina,ESC. SECUNDARIA DE RIO NEGRO N 4,12-09-2021 19:54,16,1,101,00005X,105,
1,Río Negro,Adolfo Alsina,ESC. SECUNDARIA DE RIO NEGRO N 4,12-09-2021 19:12,16,1,101,00006X,112,
1,Río Negro,Adolfo Alsina,ESC. SECUNDARIA DE RIO NEGRO N 4,12-09-2021 19:10,16,1,101,00007X,109,
1,Río Negro,Adolfo Alsina,ESC. SECUNDARIA DE RIO NEGRO N 4,12-09-2021 19:24,16,1,101,00008X,115,
1,Río Negro,Adolfo Alsina,ESC. SECUNDARIA DE RIO NEGRO N 4,12-09-2021 19:29,16,1,101,00009X,115,
1,Río Negro,Adolfo Alsina,ESC. SECUNDARIA DE RIO NEGRO N 4,12-09-2021 19:41,16,1,101,00010X,98,
1,Río Negro,Adolfo Alsina,ESC. SECUNDARIA DE RIO NEGRO N 4,12-09-2021 19:43,16,1,101,00011X,104,
2,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 308,12-09-2021 19:51,16,1,102,00013X,118,
2,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 308,12-09-2021 19:50,16,1,102,00014X,124,
2,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 308,12-09-2021 19:56,16,1,102,00015X,100,
2,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 308,12-09-2021 20:13,16,1,102,00016X,130,
2,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 308,12-09-2021 19:32,16,1,102,00018X,111,
2,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 308,12-09-2021 20:05,16,1,102,00019X,127,
2,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 308,12-09-2021 20:08,16,1,102,00020X,111,
2,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 308,12-09-2021 19:47,16,1,102,00022X,124,
3,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 336,12-09-2021 19:33,16,1,103,00023X,132,
3,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 336,12-09-2021 19:08,16,1,103,00024X,135,
3,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 336,12-09-2021 19:37,16,1,103,00025X,142,
3,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 336,12-09-2021 19:50,16,1,103,00026X,134,
3,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 336,12-09-2021 19:55,16,1,103,00027X,133,
3,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 336,12-09-2021 19:47,16,1,103,00028X,132,
4,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 263,12-09-2021 19:24,16,1,104,00029X,132,
4,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 263,12-09-2021 19:32,16,1,104,00030X,128,
4,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 263,12-09-2021 19:02,16,1,104,00031X,122,
4,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 263,12-09-2021 19:18,16,1,104,00032X,129,
4,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 263,12-09-2021 19:10,16,1,104,00033X,117,
4,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 263,12-09-2021 19:20,16,1,104,00034X,124,
4,Río Negro,Adolfo Alsina,ESCUELA PRIMARIA N 263,12-09-2021 19:12,16,1,104,00035X,118,
