"Codigo","Distrito","Seccion","Establecimiento","Fecha","IdDistrito","IdSeccion","IdCircuito","Mesa","votantes"
"25512","Santa Fe","Belgrano","ESC.NOR.SUP.N°33 DR.M.MORENO","12-09-2021 20:00","21","1","402","00001X","252"
"25512","Santa Fe","Belgrano","ESC.NOR.SUP.N°33 DR.M.MORENO","12-09-2021 20:51","21","1","402","00002X","258"
"25512","Santa Fe","Belgrano","ESC.NOR.SUP.N°33 DR.M.MORENO","12-09-2021 20:14","21","1","402","00003X","250"
"25512","Santa Fe","Belgrano","ESC.NOR.SUP.N°33 DR.M.MORENO","12-09-2021 20:19","21","1","402","00004X","245"
"25512","Santa Fe","Belgrano","ESC.NOR.SUP.N°33 DR.M.MORENO","12-09-2021 20:36","21","1","402","00005X","255"
"25512","Santa Fe","Belgrano","ESC.NOR.SUP.N°33 DR.M.MORENO","12-09-2021 20:24","21","1","402","00006X","232"
"25512","Santa Fe","Belgrano","ESC.NOR.SUP.N°33 DR.M.MORENO","12-09-2021 20:15","21","1","402","00007X","228"
"25512","Santa Fe","Belgrano","ESC.NOR.SUP.N°33 DR.M.MORENO","12-09-2021 19:46","21","1","402","00008X","250"
"25513","Santa Fe","Belgrano","ESC.PRIM.N°262 D.F.SARMIENTO","12-09-2021 19:46","21","1","402","00009X","242"
"25513","Santa Fe","Belgrano","ESC.PRIM.N°262 D.F.SARMIENTO","12-09-2021 21:03","21","1","402","00010X","234"
"25513","Santa Fe","Belgrano","ESC.PRIM.N°262 D.F.SARMIENTO","12-09-2021 20:06","21","1","402","00011X","242"
"25513","Santa Fe","Belgrano","ESC.PRIM.N°262 D.F.SARMIENTO","12-09-2021 20:47","21","1","402","00012X","252"
"25513","Santa Fe","Belgrano","ESC.PRIM.N°262 D.F.SARMIENTO","12-09-2021 20:02","21","1","402","00013X","244"
"25513","Santa Fe","Belgrano","ESC.PRIM.N°262 D.F.SARMIENTO","12-09-2021 19:50","21","1","402","00014X","225"
"25513","Santa Fe","Belgrano","ESC.PRIM.N°262 D.F.SARMIENTO","12-09-2021 20:04","21","1","402","00015X","249"
"25513","Santa Fe","Belgrano","ESC.PRIM.N°262 D.F.SARMIENTO","12-09-2021 20:20","21","1","402","00016X","214"
"25514","Santa Fe","Belgrano","ESC.PRIM.N°600 GRAL.M.BELGRANO","12-09-2021 20:21","21","1","402","00017X","249"
"25514","Santa Fe","Belgrano","ESC.PRIM.N°600 GRAL.M.BELGRANO","12-09-2021 20:24","21","1","402","00018X","251"
"25514","Santa Fe","Belgrano","ESC.PRIM.N°600 GRAL.M.BELGRANO","12-09-2021 19:30","21","1","402","00019X","255"
"25514","Santa Fe","Belgrano","ESC.PRIM.N°600 GRAL.M.BELGRANO","12-09-2021 19:43","21","1","402","00020X","242"
"25514","Santa Fe","Belgrano","ESC.PRIM.N°600 GRAL.M.BELGRANO","12-09-2021 19:53","21","1","402","00021X","251"
"25514","Santa Fe","Belgrano","ESC.PRIM.N°600 GRAL.M.BELGRANO","12-09-2021 19:33","21","1","402","00022X","253"
"25514","Santa Fe","Belgrano","ESC.PRIM.N°600 GRAL.M.BELGRANO","12-09-2021 20:24","21","1","402","00023X","261"
"25514","Santa Fe","Belgrano","ESC.PRIM.N°600 GRAL.M.BELGRANO","12-09-2021 20:27","21","1","402","00024X","240"
"25719","Santa Fe","Belgrano","E.E.T.P.N°291 T.C.F.L.BELTRAN","12-09-2021 20:13","21","1","402","00025X","243"
"25719","Santa Fe","Belgrano","E.E.T.P.N°291 T.C.F.L.BELTRAN","12-09-2021 19:38","21","1","402","00026X","245"
"25719","Santa Fe","Belgrano","E.E.T.P.N°291 T.C.F.L.BELTRAN","12-09-2021 20:11","21","1","402","00027X","301"
"25719","Santa Fe","Belgrano","E.E.T.P.N°291 T.C.F.L.BELTRAN","12-09-2021 19:15","21","1","402","00028X","248"
"25719","Santa Fe","Belgrano","E.E.T.P.N°291 T.C.F.L.BELTRAN","12-09-2021 20:04","21","1","402","00029X","244"
"25719","Santa Fe","Belgrano","E.E.T.P.N°291 T.C.F.L.BELTRAN","12-09-2021 19:28","21","1","402","00030X","162"
"25515","Santa Fe","Belgrano","ESC.PRIM.N°6017 FGTA.LIBERTAD","12-09-2021 19:40","21","1","403","00031X","212"
"25515","Santa Fe","Belgrano","ESC.PRIM.N°6017 FGTA.LIBERTAD","12-09-2021 20:19","21","1","403","00032X","229"
"25515","Santa Fe","Belgrano","ESC.PRIM.N°6017 FGTA.LIBERTAD","12-09-2021 20:02","21","1","403","00033X","230"
"25515","Santa Fe","Belgrano","ESC.PRIM.N°6017 FGTA.LIBERTAD","12-09-2021 19:31","21","1","403","00034X","241"
"25515","Santa Fe","Belgrano","ESC.PRIM.N°6017 FGTA.LIBERTAD","12-09-2021 19:48","21","1","403","00035X","236"
"25515","Santa Fe","Belgrano","ESC.PRIM.N°6017 FGTA.LIBERTAD","12-09-2021 21:31","21","1","403","00036X","248"
"25516","Santa Fe","Belgrano","ESC.PRIM.N°648 OVIDIO LAGOS","12-09-2021 21:05","21","1","403","00037X","239"
"25516","Santa Fe","Belgrano","ESC.PRIM.N°648 OVIDIO LAGOS","12-09-2021 20:25","21","1","403","00038X","221"
"25516","Santa Fe","Belgrano","ESC.PRIM.N°648 OVIDIO LAGOS","12-09-2021 21:17","21","1","403","00039X","232"
"25516","Santa Fe","Belgrano","ESC.PRIM.N°648 OVIDIO LAGOS","12-09-2021 21:37","21","1","403","00040X","217"
"25516","Santa Fe","Belgrano","ESC.PRIM.N°648 OVIDIO LAGOS","12-09-2021 21:02","21","1","403","00041X","206"
"25517","Santa Fe","Belgrano","E.E.TEC.PROFESIONAL N°290","12-09-2021 20:27","21","1","403","00042X","244"
"25517","Santa Fe","Belgrano","E.E.TEC.PROFESIONAL N°290","12-09-2021 21:05","21","1","403","00043X","248"
"25517","Santa Fe","Belgrano","E.E.TEC.PROFESIONAL N°290","12-09-2021 19:17","21","1","403","00044X","217"
"25517","Santa Fe","Belgrano","E.E.TEC.PROFESIONAL N°290","12-09-2021 19:55","21","1","403","00045X","210"
"25517","Santa Fe","Belgrano","E.E.TEC.PROFESIONAL N°290","12-09-2021 19:15","21","1","403","00046X","222"
"25517","Santa Fe","Belgrano","E.E.TEC.PROFESIONAL N°290","12-09-2021 19:25","21","1","403","00047X","230"
"25517","Santa Fe","Belgrano","E.E.TEC.PROFESIONAL N°290","12-09-2021 21:53","21","1","403","00048X","236"
"25518","Santa Fe","Belgrano","ESC.PRI.1232 BANDERA ARGENTINA","12-09-2021 19:20","21","1","403","00049X","223"
"25518","Santa Fe","Belgrano","ESC.PRI.1232 BANDERA ARGENTINA","12-09-2021 19:37","21","1","403","00050X","256"
"25518","Santa Fe","Belgrano","ESC.PRI.1232 BANDERA ARGENTINA","12-09-2021 19:28","21","1","403","00051X","224"
"25518","Santa Fe","Belgrano","ESC.PRI.1232 BANDERA ARGENTINA","12-09-2021 19:48","21","1","403","00052X","223"
"25518","Santa Fe","Belgrano","ESC.PRI.1232 BANDERA ARGENTINA","12-09-2021 19:31","21","1","403","00053X","227"
"25518","Santa Fe","Belgrano","ESC.PRI.1232 BANDERA ARGENTINA","12-09-2021 19:33","21","1","403","00054X","233"
"25694","Santa Fe","Belgrano","E.E.S.O.N°424 E.G.DE CAPISANO","12-09-2021 20:40","21","1","403","00055X","227"
"25694","Santa Fe","Belgrano","E.E.S.O.N°424 E.G.DE CAPISANO","12-09-2021 21:54","21","1","403","00056X","217"
"25694","Santa Fe","Belgrano","E.E.S.O.N°424 E.G.DE CAPISANO","12-09-2021 21:50","21","1","403","00057X","237"
"25694","Santa Fe","Belgrano","E.E.S.O.N°424 E.G.DE CAPISANO","12-09-2021 20:35","21","1","403","00058X","183"
