"Codigo","Distrito","Seccion","Establecimiento","Fecha","IdDistrito","IdSeccion","IdCircuito","Mesa","votantes"
"80","Neuquén","Confluencia","ESCUELA 103","12-09-2021 20:38","15","1","1","00001X","276"
"80","Neuquén","Confluencia","ESCUELA 103","12-09-2021 20:13","15","1","1","00002X","274"
"80","Neuquén","Confluencia","ESCUELA 103","12-09-2021 19:54","15","1","1","00003X","268"
"80","Neuquén","Confluencia","ESCUELA 103","12-09-2021 19:37","15","1","1","00004X","271"
"80","Neuquén","Confluencia","ESCUELA 103","12-09-2021 19:46","15","1","1","00005X","267"
"80","Neuquén","Confluencia","ESCUELA 103","12-09-2021 20:18","15","1","1","00006X","270"
"80","Neuquén","Confluencia","ESCUELA 103","12-09-2021 20:13","15","1","1","00007X","268"
"104","Neuquén","Confluencia","ESCUELA 136","12-09-2021 19:48","15","1","1","00008X","260"
"104","Neuquén","Confluencia","ESCUELA 136","12-09-2021 20:01","15","1","1","00009X","262"
"104","Neuquén","Confluencia","ESCUELA 136","12-09-2021 19:32","15","1","1","00010X","279"
"104","Neuquén","Confluencia","ESCUELA 136","12-09-2021 20:25","15","1","1","00011X","258"
"104","Neuquén","Confluencia","ESCUELA 136","12-09-2021 20:34","15","1","1","00012X","274"
"104","Neuquén","Confluencia","ESCUELA 136","12-09-2021 20:10","15","1","1","00013X","285"
"104","Neuquén","Confluencia","ESCUELA 136","12-09-2021 20:18","15","1","1","00014X","286"
"318","Neuquén","Confluencia","SAGRADO CORAZON","12-09-2021 22:11","15","1","1","00015X","274"
"318","Neuquén","Confluencia","SAGRADO CORAZON","12-09-2021 22:12","15","1","1","00016X","273"
"318","Neuquén","Confluencia","SAGRADO CORAZON","12-09-2021 22:35","15","1","1","00017X","268"
"318","Neuquén","Confluencia","SAGRADO CORAZON","12-09-2021 22:14","15","1","1","00018X","283"
"318","Neuquén","Confluencia","SAGRADO CORAZON","12-09-2021 22:14","15","1","1","00019X","276"
"318","Neuquén","Confluencia","SAGRADO CORAZON","12-09-2021 22:17","15","1","1","00020X","292"
"313","Neuquén","Confluencia","JEAN PIAGET","12-09-2021 20:00","15","1","1","00021X","273"
"313","Neuquén","Confluencia","JEAN PIAGET","12-09-2021 19:35","15","1","1","00022X","282"
"313","Neuquén","Confluencia","JEAN PIAGET","12-09-2021 19:59","15","1","1","00023X","278"
"313","Neuquén","Confluencia","JEAN PIAGET","12-09-2021 20:26","15","1","1","00024X","265"
"313","Neuquén","Confluencia","JEAN PIAGET","12-09-2021 20:04","15","1","1","00025X","279"
"313","Neuquén","Confluencia","JEAN PIAGET","12-09-2021 19:46","15","1","1","00026X","285"
"313","Neuquén","Confluencia","JEAN PIAGET","12-09-2021 20:11","15","1","1","00027X","281"
"302","Neuquén","Confluencia","ESCUELA CRISTIANA EVANGELICA DE NEUQUEN E.C.E.N.","12-09-2021 22:01","15","1","1","00028X","284"
"302","Neuquén","Confluencia","ESCUELA CRISTIANA EVANGELICA DE NEUQUEN E.C.E.N.","12-09-2021 22:00","15","1","1","00029X","265"
"302","Neuquén","Confluencia","ESCUELA CRISTIANA EVANGELICA DE NEUQUEN E.C.E.N.","12-09-2021 22:37","15","1","1","00030X","273"
"302","Neuquén","Confluencia","ESCUELA CRISTIANA EVANGELICA DE NEUQUEN E.C.E.N.","12-09-2021 22:02","15","1","1","00031X","273"
