"102","104","1539","1547","1548","1549","1550","20","30","31","524","8","BLC","IMP","NUL","REC","hora_proceso","numero","url"
4,5,0,6,65,12,69,0,29,1,17,0,6,0,9,5,"2019-05-12 21:50:01","1","http://www.datosoficiales.com/resultados/CO/1/112/1/1/GOB.json"
1,2,0,8,63,13,66,5,21,0,18,3,4,0,3,7,"2019-05-12 23:10:01","2","http://www.datosoficiales.com/resultados/CO/1/112/1/2/GOB.json"
4,3,0,6,60,10,72,0,18,0,19,2,8,0,3,0,"2019-05-12 22:25:01","3","http://www.datosoficiales.com/resultados/CO/1/112/1/3/GOB.json"
0,6,0,10,69,7,76,3,22,1,14,0,3,0,6,0,"2019-05-12 23:35:01","4","http://www.datosoficiales.com/resultados/CO/1/112/1/4/GOB.json"
4,3,1,7,59,8,95,3,24,0,13,0,10,0,4,0,"2019-05-12 21:30:01","5","http://www.datosoficiales.com/resultados/CO/1/112/1/5/GOB.json"
4,3,1,3,82,17,58,1,22,1,15,2,13,3,0,0,"2019-05-12 21:30:01","6","http://www.datosoficiales.com/resultados/CO/1/112/1/6/GOB.json"
5,5,1,7,70,17,66,3,15,1,13,1,5,0,3,4,"2019-05-12 22:05:01","7","http://www.datosoficiales.com/resultados/CO/1/112/1/7/GOB.json"
3,2,3,3,20,16,108,2,11,1,8,0,7,0,1,0,"2019-05-12 21:00:01","8651","http://www.datosoficiales.com/resultados/CO/1/112/1/8651/GOB.json"
1,0,0,3,33,8,114,3,8,0,9,0,8,0,3,0,"2019-05-12 22:15:01","8652","http://www.datosoficiales.com/resultados/CO/1/112/1/8652/GOB.json"
1,0,1,1,16,7,92,1,8,0,3,1,6,0,1,0,"2019-05-12 20:45:01","8653","http://www.datosoficiales.com/resultados/CO/1/112/1/8653/GOB.json"
1,7,1,9,65,14,89,1,28,3,12,0,4,0,2,11,"2019-05-12 22:55:02","113","http://www.datosoficiales.com/resultados/CO/1/112/10/113/GOB.json"
3,5,0,12,59,19,90,1,24,1,15,0,6,0,5,0,"2019-05-12 22:40:01","114","http://www.datosoficiales.com/resultados/CO/1/112/10/114/GOB.json"
2,2,2,6,54,16,92,1,21,0,17,1,3,0,4,0,"2019-05-12 22:45:02","115","http://www.datosoficiales.com/resultados/CO/1/112/10/115/GOB.json"
2,4,1,5,60,16,92,4,29,1,18,2,7,1,4,0,"2019-05-12 23:20:01","116","http://www.datosoficiales.com/resultados/CO/1/112/10/116/GOB.json"
2,2,0,8,58,18,87,4,18,0,17,0,5,0,5,1,"2019-05-12 21:50:01","117","http://www.datosoficiales.com/resultados/CO/1/112/10/117/GOB.json"
6,5,1,8,51,17,82,4,20,0,16,0,7,0,9,1,"2019-05-12 23:10:01","118","http://www.datosoficiales.com/resultados/CO/1/112/10/118/GOB.json"
3,7,2,6,59,20,86,4,26,0,22,0,6,0,4,0,"2019-05-12 23:05:01","119","http://www.datosoficiales.com/resultados/CO/1/112/10/119/GOB.json"
1,4,0,6,52,14,96,5,30,2,20,1,10,0,5,3,"2019-05-12 23:25:01","120","http://www.datosoficiales.com/resultados/CO/1/112/10/120/GOB.json"
1,4,0,9,62,22,80,1,23,0,15,1,8,0,2,0,"2019-05-12 23:45:01","121","http://www.datosoficiales.com/resultados/CO/1/112/10/121/GOB.json"
1,5,0,8,60,20,78,6,24,0,22,1,5,0,1,3,"2019-05-12 22:20:01","122","http://www.datosoficiales.com/resultados/CO/1/112/10/122/GOB.json"
3,8,1,8,73,9,78,0,25,2,15,0,7,0,8,4,"2019-05-13 01:30:01","124","http://www.datosoficiales.com/resultados/CO/1/112/10/124/GOB.json"
