"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Provincia de Córdoba","CO"
"Departamento","Capital","CO.1"
"Localidad","Córdoba","CO.1.112"
"Establecimiento","CENTRO EDUC.NIVEL MEDIO ADULTO","CO.1.112.1"
"Mesa","1","CO.1.112.1.1"
"Mesa","2","CO.1.112.1.2"
"Mesa","3","CO.1.112.1.3"
"Mesa","4","CO.1.112.1.4"
"Mesa","5","CO.1.112.1.5"
"Mesa","6","CO.1.112.1.6"
"Mesa","7","CO.1.112.1.7"
"Mesa","8651","CO.1.112.1.8651"
"Mesa","8652","CO.1.112.1.8652"
"Mesa","8653","CO.1.112.1.8653"
"Establecimiento","ESC MARIANO MORENO","CO.1.112.10"
"Mesa","113","CO.1.112.10.113"
"Mesa","114","CO.1.112.10.114"
"Mesa","115","CO.1.112.10.115"
"Mesa","116","CO.1.112.10.116"
"Mesa","117","CO.1.112.10.117"
"Mesa","118","CO.1.112.10.118"
"Mesa","119","CO.1.112.10.119"
"Mesa","120","CO.1.112.10.120"
"Mesa","121","CO.1.112.10.121"
"Mesa","122","CO.1.112.10.122"
"Mesa","123","CO.1.112.10.123"
"Mesa","124","CO.1.112.10.124"
"Mesa","125","CO.1.112.10.125"
"Establecimiento","INST INMACULADA CONCEPCION","CO.1.112.100"
"Mesa","1138","CO.1.112.100.1138"
"Mesa","1139","CO.1.112.100.1139"
"Mesa","1140","CO.1.112.100.1140"
"Mesa","1141","CO.1.112.100.1141"
"Mesa","1142","CO.1.112.100.1142"
"Mesa","1143","CO.1.112.100.1143"
"Mesa","1144","CO.1.112.100.1144"
"Mesa","1145","CO.1.112.100.1145"
"Mesa","1146","CO.1.112.100.1146"
"Mesa","1147","CO.1.112.100.1147"
"Mesa","1148","CO.1.112.100.1148"
"Mesa","1149","CO.1.112.100.1149"
"Mesa","1150","CO.1.112.100.1150"
"Mesa","1151","CO.1.112.100.1151"
"Mesa","1152","CO.1.112.100.1152"
"Mesa","1153","CO.1.112.100.1153"
"Establecimiento","ESC J DE SAN MARTIN","CO.1.112.101"
"Mesa","1154","CO.1.112.101.1154"
"Mesa","1155","CO.1.112.101.1155"
"Mesa","1156","CO.1.112.101.1156"
"Mesa","1157","CO.1.112.101.1157"
"Mesa","1158","CO.1.112.101.1158"
"Mesa","1159","CO.1.112.101.1159"
"Mesa","1160","CO.1.112.101.1160"
"Establecimiento","COL NTRA SEÑORA DE LA MERCED","CO.1.112.102"
"Mesa","1161","CO.1.112.102.1161"
"Mesa","1162","CO.1.112.102.1162"
"Mesa","1163","CO.1.112.102.1163"
"Mesa","1164","CO.1.112.102.1164"
"Mesa","1165","CO.1.112.102.1165"
"Mesa","1166","CO.1.112.102.1166"
"Mesa","1167","CO.1.112.102.1167"
"Mesa","1168","CO.1.112.102.1168"
"Establecimiento","INSTITUTO PEÑA","CO.1.112.103"
"Mesa","1169","CO.1.112.103.1169"
"Mesa","1170","CO.1.112.103.1170"
"Mesa","1171","CO.1.112.103.1171"
"Mesa","1172","CO.1.112.103.1172"
"Mesa","1173","CO.1.112.103.1173"
"Mesa","1174","CO.1.112.103.1174"
"Mesa","1175","CO.1.112.103.1175"
"Mesa","1176","CO.1.112.103.1176"
"Mesa","1177","CO.1.112.103.1177"
"Mesa","1178","CO.1.112.103.1178"
"Mesa","1179","CO.1.112.103.1179"
"Establecimiento","ESC PRESIDENTE KENNEDY","CO.1.112.104"
"Mesa","1180","CO.1.112.104.1180"
"Mesa","1181","CO.1.112.104.1181"
"Mesa","1182","CO.1.112.104.1182"
"Mesa","1183","CO.1.112.104.1183"
"Mesa","1184","CO.1.112.104.1184"
"Mesa","1185","CO.1.112.104.1185"
"Establecimiento","ESC ROQUE SAENZ PEÑA","CO.1.112.105"
"Mesa","1186","CO.1.112.105.1186"
"Mesa","1187","CO.1.112.105.1187"
"Mesa","1188","CO.1.112.105.1188"
"Mesa","1189","CO.1.112.105.1189"
"Mesa","1190","CO.1.112.105.1190"
"Mesa","1191","CO.1.112.105.1191"
"Mesa","1192","CO.1.112.105.1192"
"Mesa","1193","CO.1.112.105.1193"
"Mesa","1194","CO.1.112.105.1194"
"Mesa","1195","CO.1.112.105.1195"
"Mesa","1196","CO.1.112.105.1196"
"Mesa","1197","CO.1.112.105.1197"
"Mesa","1198","CO.1.112.105.1198"
"Mesa","1199","CO.1.112.105.1199"
"Establecimiento","INST EDUCACION CORDOBA","CO.1.112.106"
"Mesa","1200","CO.1.112.106.1200"
"Mesa","1201","CO.1.112.106.1201"
"Mesa","1202","CO.1.112.106.1202"
"Mesa","1203","CO.1.112.106.1203"
"Mesa","1204","CO.1.112.106.1204"
"Mesa","1205","CO.1.112.106.1205"
"Mesa","1206","CO.1.112.106.1206"
"Mesa","1207","CO.1.112.106.1207"
"Mesa","1208","CO.1.112.106.1208"
"Mesa","1209","CO.1.112.106.1209"
"Mesa","1210","CO.1.112.106.1210"
"Mesa","1211","CO.1.112.106.1211"
"Mesa","1212","CO.1.112.106.1212"
"Mesa","1213","CO.1.112.106.1213"
"Mesa","1214","CO.1.112.106.1214"
"Mesa","1215","CO.1.112.106.1215"
"Mesa","1216","CO.1.112.106.1216"
"Mesa","1217","CO.1.112.106.1217"
"Mesa","1218","CO.1.112.106.1218"
"Establecimiento","E.N.E.T. N°1 DR A SABATTINI","CO.1.112.107"
"Mesa","1219","CO.1.112.107.1219"
"Mesa","1220","CO.1.112.107.1220"
"Mesa","1221","CO.1.112.107.1221"
"Mesa","1222","CO.1.112.107.1222"
"Mesa","1223","CO.1.112.107.1223"
"Mesa","1224","CO.1.112.107.1224"
"Mesa","1225","CO.1.112.107.1225"
"Mesa","1226","CO.1.112.107.1226"
"Mesa","1227","CO.1.112.107.1227"
"Establecimiento","ESC MANUEL BELGRANO","CO.1.112.108"
"Mesa","1228","CO.1.112.108.1228"
"Mesa","1229","CO.1.112.108.1229"
"Mesa","1230","CO.1.112.108.1230"
"Mesa","1231","CO.1.112.108.1231"
"Mesa","1232","CO.1.112.108.1232"
"Mesa","1233","CO.1.112.108.1233"
"Mesa","1234","CO.1.112.108.1234"
"Mesa","1235","CO.1.112.108.1235"
"Mesa","1236","CO.1.112.108.1236"
"Mesa","1237","CO.1.112.108.1237"
"Establecimiento","ESC MUN YAMAHIBIA ARABE LIBIA","CO.1.112.109"
"Mesa","1238","CO.1.112.109.1238"
"Mesa","1239","CO.1.112.109.1239"
"Mesa","1240","CO.1.112.109.1240"
"Mesa","1241","CO.1.112.109.1241"
"Mesa","1242","CO.1.112.109.1242"
"Mesa","1243","CO.1.112.109.1243"
"Mesa","1244","CO.1.112.109.1244"
"Mesa","1245","CO.1.112.109.1245"
"Mesa","1246","CO.1.112.109.1246"
"Establecimiento","COL NACIONAL DEAN FUNES","CO.1.112.11"
"Mesa","126","CO.1.112.11.126"
"Mesa","127","CO.1.112.11.127"
"Mesa","128","CO.1.112.11.128"
"Mesa","129","CO.1.112.11.129"
"Mesa","130","CO.1.112.11.130"
"Mesa","131","CO.1.112.11.131"
"Mesa","132","CO.1.112.11.132"
"Mesa","133","CO.1.112.11.133"
"Mesa","134","CO.1.112.11.134"
"Mesa","135","CO.1.112.11.135"
"Mesa","136","CO.1.112.11.136"
"Mesa","137","CO.1.112.11.137"
"Mesa","138","CO.1.112.11.138"
"Mesa","139","CO.1.112.11.139"
"Mesa","140","CO.1.112.11.140"
"Mesa","141","CO.1.112.11.141"
"Mesa","142","CO.1.112.11.142"
"Mesa","143","CO.1.112.11.143"
"Mesa","144","CO.1.112.11.144"
"Mesa","145","CO.1.112.11.145"
"Establecimiento","ESC PCIA DE CATAMARCA","CO.1.112.110"
"Mesa","1253","CO.1.112.110.1253"
"Mesa","1254","CO.1.112.110.1254"
"Mesa","1255","CO.1.112.110.1255"
"Mesa","1256","CO.1.112.110.1256"
"Mesa","1257","CO.1.112.110.1257"
"Mesa","1258","CO.1.112.110.1258"
"Mesa","1259","CO.1.112.110.1259"
"Mesa","1260","CO.1.112.110.1260"
"Mesa","1261","CO.1.112.110.1261"
"Mesa","1262","CO.1.112.110.1262"
"Mesa","1263","CO.1.112.110.1263"
"Mesa","1264","CO.1.112.110.1264"
"Mesa","1265","CO.1.112.110.1265"
"Mesa","1266","CO.1.112.110.1266"
"Mesa","1267","CO.1.112.110.1267"
"Mesa","1268","CO.1.112.110.1268"
"Mesa","1269","CO.1.112.110.1269"
"Establecimiento","ESC REPUBLICA DE SIRIA","CO.1.112.111"
"Mesa","1270","CO.1.112.111.1270"
"Mesa","1271","CO.1.112.111.1271"
"Mesa","1272","CO.1.112.111.1272"
"Mesa","1273","CO.1.112.111.1273"
"Mesa","1274","CO.1.112.111.1274"
"Mesa","1275","CO.1.112.111.1275"
"Establecimiento","ESC GDOR J B BUSTOS","CO.1.112.112"
"Mesa","1276","CO.1.112.112.1276"
"Mesa","1277","CO.1.112.112.1277"
"Mesa","1278","CO.1.112.112.1278"
"Mesa","1279","CO.1.112.112.1279"
"Mesa","1280","CO.1.112.112.1280"
"Mesa","1281","CO.1.112.112.1281"
"Mesa","1282","CO.1.112.112.1282"
"Mesa","1283","CO.1.112.112.1283"
"Mesa","1284","CO.1.112.112.1284"
"Mesa","1285","CO.1.112.112.1285"
"Mesa","1286","CO.1.112.112.1286"
"Establecimiento","J DE INF REPUBLICA DE SIRIA","CO.1.112.113"
"Mesa","1287","CO.1.112.113.1287"
"Establecimiento","ESC ALEJANDRO CARBO","CO.1.112.114"
"Mesa","1288","CO.1.112.114.1288"
"Mesa","1289","CO.1.112.114.1289"
"Mesa","1290","CO.1.112.114.1290"
"Mesa","1291","CO.1.112.114.1291"
"Mesa","1292","CO.1.112.114.1292"
"Mesa","1293","CO.1.112.114.1293"
"Mesa","1294","CO.1.112.114.1294"
"Mesa","1295","CO.1.112.114.1295"
"Mesa","1296","CO.1.112.114.1296"
"Mesa","1297","CO.1.112.114.1297"
"Mesa","1298","CO.1.112.114.1298"
"Mesa","1299","CO.1.112.114.1299"
"Mesa","1300","CO.1.112.114.1300"
"Mesa","1301","CO.1.112.114.1301"
"Mesa","1302","CO.1.112.114.1302"
"Mesa","1303","CO.1.112.114.1303"
"Establecimiento","ESC MUNIC AZOR GRIMAUT","CO.1.112.115"
"Mesa","1304","CO.1.112.115.1304"
"Mesa","1305","CO.1.112.115.1305"
"Mesa","1306","CO.1.112.115.1306"
"Mesa","1307","CO.1.112.115.1307"
"Mesa","1308","CO.1.112.115.1308"
"Establecimiento","ESC MUNIC REPUBLICA DE ITALIA","CO.1.112.116"
"Mesa","1309","CO.1.112.116.1309"
"Mesa","1310","CO.1.112.116.1310"
"Mesa","1311","CO.1.112.116.1311"
"Mesa","1312","CO.1.112.116.1312"
"Mesa","1313","CO.1.112.116.1313"
"Mesa","1314","CO.1.112.116.1314"
"Mesa","1315","CO.1.112.116.1315"
"Establecimiento","ESC CADETES FUERZA AEREA","CO.1.112.117"
"Mesa","1320","CO.1.112.117.1320"
"Mesa","1321","CO.1.112.117.1321"
"Mesa","1322","CO.1.112.117.1322"
"Mesa","1323","CO.1.112.117.1323"
"Mesa","1324","CO.1.112.117.1324"
"Mesa","1325","CO.1.112.117.1325"
"Mesa","1326","CO.1.112.117.1326"
"Mesa","1327","CO.1.112.117.1327"
"Mesa","1328","CO.1.112.117.1328"
"Mesa","1329","CO.1.112.117.1329"
"Mesa","1330","CO.1.112.117.1330"
"Establecimiento","ESC PADRE BURON","CO.1.112.118"
"Mesa","1331","CO.1.112.118.1331"
"Mesa","1332","CO.1.112.118.1332"
"Mesa","1333","CO.1.112.118.1333"
"Mesa","1334","CO.1.112.118.1334"
"Mesa","1335","CO.1.112.118.1335"
"Mesa","1336","CO.1.112.118.1336"
"Mesa","1337","CO.1.112.118.1337"
"Mesa","1338","CO.1.112.118.1338"
"Establecimiento","J DE INF CADETES FUERZA AEREA","CO.1.112.119"
"Mesa","1339","CO.1.112.119.1339"
"Mesa","1340","CO.1.112.119.1340"
"Establecimiento","IPET N°66 DR JOSE A BALSEIRO","CO.1.112.12"
"Mesa","146","CO.1.112.12.146"
"Mesa","147","CO.1.112.12.147"
"Mesa","148","CO.1.112.12.148"
"Mesa","149","CO.1.112.12.149"
"Mesa","150","CO.1.112.12.150"
"Mesa","151","CO.1.112.12.151"
"Mesa","152","CO.1.112.12.152"
"Mesa","153","CO.1.112.12.153"
"Mesa","154","CO.1.112.12.154"
"Mesa","155","CO.1.112.12.155"
"Mesa","156","CO.1.112.12.156"
"Mesa","157","CO.1.112.12.157"
"Mesa","158","CO.1.112.12.158"
"Mesa","159","CO.1.112.12.159"
"Establecimiento","ESC ALAS ARGENTINA","CO.1.112.120"
"Mesa","1341","CO.1.112.120.1341"
"Mesa","1342","CO.1.112.120.1342"
"Mesa","1343","CO.1.112.120.1343"
"Mesa","1344","CO.1.112.120.1344"
"Mesa","1345","CO.1.112.120.1345"
"Mesa","1346","CO.1.112.120.1346"
"Mesa","1347","CO.1.112.120.1347"
"Mesa","1348","CO.1.112.120.1348"
"Mesa","1349","CO.1.112.120.1349"
"Mesa","1350","CO.1.112.120.1350"
"Mesa","1351","CO.1.112.120.1351"
"Mesa","1352","CO.1.112.120.1352"
"Establecimiento","ESC MUNIC CESAR E ROMERO","CO.1.112.121"
"Mesa","1353","CO.1.112.121.1353"
"Mesa","1354","CO.1.112.121.1354"
"Mesa","1355","CO.1.112.121.1355"
"Mesa","1356","CO.1.112.121.1356"
"Mesa","1357","CO.1.112.121.1357"
"Mesa","1358","CO.1.112.121.1358"
"Establecimiento","ESC AERONAUTICA ARGENTINA","CO.1.112.122"
"Mesa","1359","CO.1.112.122.1359"
"Mesa","1360","CO.1.112.122.1360"
"Mesa","1361","CO.1.112.122.1361"
"Mesa","1362","CO.1.112.122.1362"
"Mesa","1363","CO.1.112.122.1363"
"Mesa","1364","CO.1.112.122.1364"
"Mesa","1365","CO.1.112.122.1365"
"Mesa","1366","CO.1.112.122.1366"
"Mesa","1367","CO.1.112.122.1367"
"Mesa","1368","CO.1.112.122.1368"
"Establecimiento","COL NUESTRA SEÑORA DE FATIMA","CO.1.112.123"
"Mesa","1369","CO.1.112.123.1369"
"Mesa","1370","CO.1.112.123.1370"
"Mesa","1371","CO.1.112.123.1371"
"Mesa","1372","CO.1.112.123.1372"
"Mesa","1373","CO.1.112.123.1373"
"Mesa","1374","CO.1.112.123.1374"
"Mesa","1375","CO.1.112.123.1375"
"Mesa","1376","CO.1.112.123.1376"
"Mesa","1377","CO.1.112.123.1377"
"Mesa","1378","CO.1.112.123.1378"
"Mesa","1379","CO.1.112.123.1379"
"Mesa","1380","CO.1.112.123.1380"
"Mesa","1381","CO.1.112.123.1381"
"Establecimiento","ESC REPUBLICA ARGENTINA","CO.1.112.124"
"Mesa","1382","CO.1.112.124.1382"
"Mesa","1383","CO.1.112.124.1383"
"Mesa","1384","CO.1.112.124.1384"
"Mesa","1385","CO.1.112.124.1385"
"Mesa","1386","CO.1.112.124.1386"
"Mesa","1387","CO.1.112.124.1387"
"Mesa","1388","CO.1.112.124.1388"
"Establecimiento","ESC MIGUEL A ZABALA ORTIZ","CO.1.112.125"
"Mesa","1389","CO.1.112.125.1389"
"Mesa","1390","CO.1.112.125.1390"
"Mesa","1391","CO.1.112.125.1391"
"Mesa","1392","CO.1.112.125.1392"
"Mesa","1393","CO.1.112.125.1393"
"Mesa","1394","CO.1.112.125.1394"
"Mesa","1395","CO.1.112.125.1395"
"Establecimiento","E.N.E.T. N° 4 COPERNICO","CO.1.112.126"
"Mesa","1396","CO.1.112.126.1396"
"Mesa","1397","CO.1.112.126.1397"
"Mesa","1398","CO.1.112.126.1398"
"Mesa","1399","CO.1.112.126.1399"
"Mesa","1400","CO.1.112.126.1400"
"Mesa","1401","CO.1.112.126.1401"
"Mesa","1402","CO.1.112.126.1402"
"Mesa","1403","CO.1.112.126.1403"
"Mesa","1404","CO.1.112.126.1404"
"Mesa","1405","CO.1.112.126.1405"
"Mesa","1406","CO.1.112.126.1406"
"Mesa","1407","CO.1.112.126.1407"
"Mesa","1408","CO.1.112.126.1408"
"Mesa","1409","CO.1.112.126.1409"
"Mesa","1410","CO.1.112.126.1410"
"Mesa","1411","CO.1.112.126.1411"
"Mesa","1412","CO.1.112.126.1412"
"Mesa","1413","CO.1.112.126.1413"
"Mesa","1414","CO.1.112.126.1414"
"Mesa","1415","CO.1.112.126.1415"
"Mesa","1416","CO.1.112.126.1416"
"Mesa","1417","CO.1.112.126.1417"
"Mesa","1418","CO.1.112.126.1418"
"Mesa","1419","CO.1.112.126.1419"
"Mesa","1420","CO.1.112.126.1420"
"Mesa","1421","CO.1.112.126.1421"
"Establecimiento","EE UU DE NORTEAMERICA","CO.1.112.127"
"Mesa","1422","CO.1.112.127.1422"
"Mesa","1423","CO.1.112.127.1423"
"Mesa","1424","CO.1.112.127.1424"
"Mesa","1425","CO.1.112.127.1425"
"Mesa","1426","CO.1.112.127.1426"
"Mesa","1427","CO.1.112.127.1427"
"Mesa","1428","CO.1.112.127.1428"
"Mesa","1429","CO.1.112.127.1429"
"Mesa","1430","CO.1.112.127.1430"
"Establecimiento","COL NUESTRA SEÑORA DE NIEVA","CO.1.112.128"
"Mesa","1431","CO.1.112.128.1431"
"Mesa","1432","CO.1.112.128.1432"
"Mesa","1433","CO.1.112.128.1433"
"Mesa","1434","CO.1.112.128.1434"
"Mesa","1435","CO.1.112.128.1435"
"Mesa","1436","CO.1.112.128.1436"
"Mesa","1437","CO.1.112.128.1437"
"Mesa","1438","CO.1.112.128.1438"
"Mesa","1439","CO.1.112.128.1439"
"Mesa","1440","CO.1.112.128.1440"
"Mesa","1441","CO.1.112.128.1441"
"Mesa","1442","CO.1.112.128.1442"
"Mesa","1443","CO.1.112.128.1443"
"Mesa","1444","CO.1.112.128.1444"
"Mesa","1445","CO.1.112.128.1445"
"Mesa","1446","CO.1.112.128.1446"
"Mesa","1447","CO.1.112.128.1447"
"Mesa","1448","CO.1.112.128.1448"
"Establecimiento","ESC ADOLFO SALDIAS","CO.1.112.129"
"Mesa","1449","CO.1.112.129.1449"
"Mesa","1450","CO.1.112.129.1450"
"Mesa","1451","CO.1.112.129.1451"
"Mesa","1452","CO.1.112.129.1452"
"Mesa","1453","CO.1.112.129.1453"
"Mesa","1454","CO.1.112.129.1454"
"Mesa","1455","CO.1.112.129.1455"
"Mesa","1456","CO.1.112.129.1456"
"Establecimiento","ESC GDOR ALVAREZ","CO.1.112.13"
"Mesa","160","CO.1.112.13.160"
"Mesa","161","CO.1.112.13.161"
"Mesa","162","CO.1.112.13.162"
"Mesa","163","CO.1.112.13.163"
"Mesa","164","CO.1.112.13.164"
"Mesa","165","CO.1.112.13.165"
"Mesa","166","CO.1.112.13.166"
"Mesa","167","CO.1.112.13.167"
"Mesa","168","CO.1.112.13.168"
"Establecimiento","ESC GDOR EMILIO OLMOS","CO.1.112.130"
"Mesa","1457","CO.1.112.130.1457"
"Mesa","1458","CO.1.112.130.1458"
"Mesa","1459","CO.1.112.130.1459"
"Mesa","1460","CO.1.112.130.1460"
"Mesa","1461","CO.1.112.130.1461"
"Mesa","1462","CO.1.112.130.1462"
"Mesa","1463","CO.1.112.130.1463"
"Mesa","1464","CO.1.112.130.1464"
"Mesa","1465","CO.1.112.130.1465"
"Mesa","1466","CO.1.112.130.1466"
"Establecimiento","ESC R ESCALADA DE SAN MARTIN","CO.1.112.131"
"Mesa","1467","CO.1.112.131.1467"
"Mesa","1468","CO.1.112.131.1468"
"Mesa","1469","CO.1.112.131.1469"
"Mesa","1470","CO.1.112.131.1470"
"Mesa","1471","CO.1.112.131.1471"
"Mesa","1472","CO.1.112.131.1472"
"Mesa","1473","CO.1.112.131.1473"
"Mesa","1474","CO.1.112.131.1474"
"Mesa","1475","CO.1.112.131.1475"
"Mesa","1476","CO.1.112.131.1476"
"Mesa","1477","CO.1.112.131.1477"
"Mesa","1478","CO.1.112.131.1478"
"Mesa","1479","CO.1.112.131.1479"
"Establecimiento","ESC MUNIC DR A DEL CASTILLO","CO.1.112.132"
"Mesa","1480","CO.1.112.132.1480"
"Mesa","1481","CO.1.112.132.1481"
"Mesa","1482","CO.1.112.132.1482"
"Mesa","1483","CO.1.112.132.1483"
"Mesa","1484","CO.1.112.132.1484"
"Mesa","1485","CO.1.112.132.1485"
"Mesa","1486","CO.1.112.132.1486"
"Establecimiento","ESC BANDERA ARGENTINA","CO.1.112.133"
"Mesa","1524","CO.1.112.133.1524"
"Mesa","1525","CO.1.112.133.1525"
"Mesa","1526","CO.1.112.133.1526"
"Mesa","1527","CO.1.112.133.1527"
"Mesa","1528","CO.1.112.133.1528"
"Mesa","1529","CO.1.112.133.1529"
"Mesa","1530","CO.1.112.133.1530"
"Mesa","1531","CO.1.112.133.1531"
"Mesa","1532","CO.1.112.133.1532"
"Mesa","1533","CO.1.112.133.1533"
"Mesa","1534","CO.1.112.133.1534"
"Establecimiento","ESCUELA DON ORIONE","CO.1.112.134"
"Mesa","1535","CO.1.112.134.1535"
"Mesa","1536","CO.1.112.134.1536"
"Mesa","1537","CO.1.112.134.1537"
"Mesa","1538","CO.1.112.134.1538"
"Mesa","1539","CO.1.112.134.1539"
"Mesa","1540","CO.1.112.134.1540"
"Mesa","1541","CO.1.112.134.1541"
"Mesa","1542","CO.1.112.134.1542"
"Mesa","1543","CO.1.112.134.1543"
