"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Córdoba","CO"
"Departamento","Capital","CO.1"
"Localidad","Seccional Primera (Circ. 1)","CO.1.524"
"Establecimiento","ESC  NACIONAL DE MONSERRAT","CO.1.524.1"
"Mesa","10","CO.1.524.1.10"
"Mesa","11","CO.1.524.1.11"
"Mesa","12","CO.1.524.1.12"
"Mesa","13","CO.1.524.1.13"
"Mesa","14","CO.1.524.1.14"
"Mesa","15","CO.1.524.1.15"
"Mesa","16","CO.1.524.1.16"
"Mesa","17","CO.1.524.1.17"
"Mesa","9","CO.1.524.1.9"
"Mesa","9058","CO.1.524.1.9058"
"Mesa","9059","CO.1.524.1.9059"
"Mesa","9060","CO.1.524.1.9060"
"Establecimiento","ESC  SAN JOSE","CO.1.524.2"
"Mesa","39","CO.1.524.2.39"
"Mesa","40","CO.1.524.2.40"
"Mesa","41","CO.1.524.2.41"
"Mesa","42","CO.1.524.2.42"
"Mesa","43","CO.1.524.2.43"
"Mesa","44","CO.1.524.2.44"
"Mesa","45","CO.1.524.2.45"
"Mesa","46","CO.1.524.2.46"
"Establecimiento","ESC NUESTRA SEÑORA DEL HUERTO","CO.1.524.3"
"Mesa","1","CO.1.524.3.1"
"Mesa","2","CO.1.524.3.2"
"Mesa","3","CO.1.524.3.3"
"Mesa","4","CO.1.524.3.4"
"Mesa","5","CO.1.524.3.5"
"Mesa","6","CO.1.524.3.6"
"Mesa","7","CO.1.524.3.7"
"Mesa","8","CO.1.524.3.8"
"Establecimiento","ESC SANTA TERESA DE JESUS","CO.1.524.4"
"Mesa","18","CO.1.524.4.18"
"Mesa","19","CO.1.524.4.19"
"Mesa","20","CO.1.524.4.20"
"Mesa","21","CO.1.524.4.21"
"Mesa","22","CO.1.524.4.22"
"Mesa","23","CO.1.524.4.23"
"Mesa","24","CO.1.524.4.24"
"Mesa","25","CO.1.524.4.25"
"Establecimiento","INST INMACULADO CORAZON DE MARIA","CO.1.524.5"
"Mesa","26","CO.1.524.5.26"
"Mesa","27","CO.1.524.5.27"
"Mesa","28","CO.1.524.5.28"
"Mesa","29","CO.1.524.5.29"
"Mesa","30","CO.1.524.5.30"
"Mesa","31","CO.1.524.5.31"
"Mesa","32","CO.1.524.5.32"
"Mesa","33","CO.1.524.5.33"
"Mesa","34","CO.1.524.5.34"
"Establecimiento","INST SEC MONSEÑOR DE ANDREA","CO.1.524.6"
"Mesa","35","CO.1.524.6.35"
"Mesa","36","CO.1.524.6.36"
"Mesa","37","CO.1.524.6.37"
"Mesa","38","CO.1.524.6.38"
"Localidad","Seccional Segunda (Circ. 2)","CO.1.525"
"Establecimiento","ESC JUAN BAUTISTA ALBERDI","CO.1.525.296"
"Mesa","47","CO.1.525.296.47"
"Mesa","48","CO.1.525.296.48"
"Mesa","49","CO.1.525.296.49"
"Mesa","50","CO.1.525.296.50"
"Mesa","51","CO.1.525.296.51"
"Mesa","52","CO.1.525.296.52"
"Establecimiento","ESC  SANTA INFANCIA","CO.1.525.297"
"Mesa","59","CO.1.525.297.59"
"Mesa","60","CO.1.525.297.60"
"Mesa","61","CO.1.525.297.61"
"Mesa","62","CO.1.525.297.62"
"Mesa","63","CO.1.525.297.63"
"Mesa","64","CO.1.525.297.64"
"Establecimiento","ESC  DE LA SAGRADA FAMILIA","CO.1.525.298"
"Mesa","53","CO.1.525.298.53"
"Mesa","54","CO.1.525.298.54"
"Mesa","55","CO.1.525.298.55"
"Mesa","56","CO.1.525.298.56"
"Mesa","57","CO.1.525.298.57"
"Mesa","58","CO.1.525.298.58"
"Localidad","Seccional Tercera (Circ. 3)","CO.1.526"
"Establecimiento","ESC MARIANO MORENO","CO.1.526.299"
"Mesa","100","CO.1.526.299.100"
"Mesa","101","CO.1.526.299.101"
"Mesa","102","CO.1.526.299.102"
"Mesa","103","CO.1.526.299.103"
"Mesa","104","CO.1.526.299.104"
"Mesa","105","CO.1.526.299.105"
"Mesa","106","CO.1.526.299.106"
"Mesa","98","CO.1.526.299.98"
"Mesa","99","CO.1.526.299.99"
"Establecimiento","ESC NORMAL ALEJANDRO CARBO","CO.1.526.300"
"Mesa","90","CO.1.526.300.90"
"Mesa","91","CO.1.526.300.91"
"Mesa","92","CO.1.526.300.92"
"Mesa","93","CO.1.526.300.93"
"Mesa","94","CO.1.526.300.94"
"Mesa","95","CO.1.526.300.95"
"Mesa","96","CO.1.526.300.96"
"Mesa","97","CO.1.526.300.97"
"Establecimiento","ESC SALESIANO PIO X","CO.1.526.301"
"Mesa","107","CO.1.526.301.107"
"Mesa","108","CO.1.526.301.108"
"Mesa","109","CO.1.526.301.109"
"Mesa","110","CO.1.526.301.110"
"Mesa","111","CO.1.526.301.111"
"Mesa","112","CO.1.526.301.112"
"Mesa","113","CO.1.526.301.113"
"Mesa","114","CO.1.526.301.114"
"Establecimiento","ESC SANTO TOMAS","CO.1.526.302"
"Mesa","82","CO.1.526.302.82"
"Mesa","83","CO.1.526.302.83"
"Mesa","84","CO.1.526.302.84"
"Mesa","85","CO.1.526.302.85"
"Mesa","86","CO.1.526.302.86"
"Mesa","87","CO.1.526.302.87"
"Mesa","88","CO.1.526.302.88"
"Mesa","89","CO.1.526.302.89"
"Establecimiento","IPEM N° 270 GRAL M BELGRANO","CO.1.526.303"
"Mesa","74","CO.1.526.303.74"
"Mesa","75","CO.1.526.303.75"
"Mesa","76","CO.1.526.303.76"
"Mesa","77","CO.1.526.303.77"
"Mesa","78","CO.1.526.303.78"
"Mesa","79","CO.1.526.303.79"
"Mesa","80","CO.1.526.303.80"
"Mesa","81","CO.1.526.303.81"
"Establecimiento","IPEM N°138 JERONIMO LUIS DE CABRERA","CO.1.526.304"
"Mesa","65","CO.1.526.304.65"
"Mesa","66","CO.1.526.304.66"
"Mesa","67","CO.1.526.304.67"
"Mesa","68","CO.1.526.304.68"
"Mesa","69","CO.1.526.304.69"
"Mesa","70","CO.1.526.304.70"
"Mesa","71","CO.1.526.304.71"
"Mesa","72","CO.1.526.304.72"
"Mesa","73","CO.1.526.304.73"
"Establecimiento","IPET N° 247  ING CARLOS CASSAFFOUSTH","CO.1.526.305"
"Mesa","115","CO.1.526.305.115"
"Mesa","116","CO.1.526.305.116"
"Mesa","117","CO.1.526.305.117"
"Mesa","118","CO.1.526.305.118"
"Mesa","119","CO.1.526.305.119"
"Mesa","120","CO.1.526.305.120"
"Mesa","121","CO.1.526.305.121"
"Mesa","122","CO.1.526.305.122"
"Localidad","Nueva Cordoba (Circ. 4)","CO.1.527"
"Establecimiento","IPET N°66 DR JOSE A BALSEIRO","CO.1.527.306"
"Mesa","139","CO.1.527.306.139"
"Mesa","140","CO.1.527.306.140"
"Mesa","141","CO.1.527.306.141"
"Mesa","142","CO.1.527.306.142"
"Mesa","143","CO.1.527.306.143"
"Mesa","144","CO.1.527.306.144"
"Mesa","145","CO.1.527.306.145"
"Mesa","146","CO.1.527.306.146"
