"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Provincia del Neuquén","NE"
"Departamento","Confluencia","NE.1"
"Localidad","Cutral Co","NE.1.10"
"Establecimiento","ESCUELA 102","NE.1.10.1"
"Mesa","681","NE.1.10.1.681"
"Mesa","682","NE.1.10.1.682"
"Mesa","683","NE.1.10.1.683"
"Mesa","684","NE.1.10.1.684"
"Mesa","685","NE.1.10.1.685"
"Mesa","686","NE.1.10.1.686"
"Establecimiento","ESCUELA 269","NE.1.10.10"
"Mesa","714","NE.1.10.10.714"
"Establecimiento","GIMNASIO MUNICIPAL MOSCONI","NE.1.10.11"
"Mesa","666","NE.1.10.11.666"
"Mesa","667","NE.1.10.11.667"
"Mesa","668","NE.1.10.11.668"
"Mesa","669","NE.1.10.11.669"
"Mesa","670","NE.1.10.11.670"
"Mesa","671","NE.1.10.11.671"
"Mesa","672","NE.1.10.11.672"
"Mesa","673","NE.1.10.11.673"
"Mesa","674","NE.1.10.11.674"
"Establecimiento","ESCUELA 172","NE.1.10.12"
"Mesa","709","NE.1.10.12.709"
"Mesa","710","NE.1.10.12.710"
"Mesa","711","NE.1.10.12.711"
"Mesa","712","NE.1.10.12.712"
"Mesa","713","NE.1.10.12.713"
"Establecimiento","ESCUELA 255","NE.1.10.13"
"Mesa","715","NE.1.10.13.715"
"Mesa","716","NE.1.10.13.716"
"Mesa","717","NE.1.10.13.717"
"Mesa","718","NE.1.10.13.718"
"Mesa","719","NE.1.10.13.719"
"Mesa","720","NE.1.10.13.720"
"Mesa","721","NE.1.10.13.721"
"Establecimiento","C.P.E.M 51","NE.1.10.14"
"Mesa","722","NE.1.10.14.722"
"Mesa","723","NE.1.10.14.723"
"Mesa","724","NE.1.10.14.724"
"Mesa","725","NE.1.10.14.725"
"Mesa","726","NE.1.10.14.726"
"Mesa","727","NE.1.10.14.727"
"Establecimiento","I.F.D. 1","NE.1.10.15"
"Mesa","728","NE.1.10.15.728"
"Mesa","729","NE.1.10.15.729"
"Mesa","730","NE.1.10.15.730"
"Mesa","731","NE.1.10.15.731"
"Mesa","732","NE.1.10.15.732"
"Mesa","733","NE.1.10.15.733"
"Establecimiento","ESCUELA 281","NE.1.10.16"
"Mesa","734","NE.1.10.16.734"
"Mesa","735","NE.1.10.16.735"
"Mesa","736","NE.1.10.16.736"
"Mesa","737","NE.1.10.16.737"
"Mesa","738","NE.1.10.16.738"
"Mesa","739","NE.1.10.16.739"
"Establecimiento","ESCUELA 292","NE.1.10.2"
"Mesa","675","NE.1.10.2.675"
"Mesa","676","NE.1.10.2.676"
"Mesa","677","NE.1.10.2.677"
"Mesa","678","NE.1.10.2.678"
"Mesa","679","NE.1.10.2.679"
"Mesa","680","NE.1.10.2.680"
"Establecimiento","C.P.E.M. 20","NE.1.10.3"
"Mesa","687","NE.1.10.3.687"
"Mesa","688","NE.1.10.3.688"
"Mesa","689","NE.1.10.3.689"
"Mesa","690","NE.1.10.3.690"
"Mesa","691","NE.1.10.3.691"
"Establecimiento","ESCUELA 119","NE.1.10.4"
