"165","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
3,2,58,2,89,41,17,0,0,3,0,"2019-04-12 17:35:02","339","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31/1/339/LRC.json"
2,6,65,1,95,21,11,0,0,1,0,"2019-04-12 17:35:02","340","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31/1/340/LRC.json"
1,0,7,2,8,1,2,0,0,0,0,"2019-04-12 17:35:02","341","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31A/1/341/LRC.json"
0,0,3,0,6,1,1,0,0,0,0,"2019-04-12 17:35:02","342","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31B/1/342/LRC.json"
0,0,15,2,3,0,0,0,0,0,0,"2019-04-12 17:35:02","343","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/32/1/343/LRC.json"
1,0,11,1,19,2,1,0,0,1,0,"2019-04-12 17:35:02","344","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/33/1/344/LRC.json"
1,4,34,4,80,3,1,0,0,1,0,"2019-04-12 17:35:02","345","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/34/1/345/LRC.json"
0,4,45,2,75,1,4,0,0,1,0,"2019-04-12 17:35:02","346","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/34/1/346/LRC.json"
1,0,23,4,82,9,9,0,0,0,0,"2019-04-12 17:35:02","347","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/35/1/347/LRC.json"
2,10,61,0,114,6,8,0,0,0,0,"2019-04-12 17:35:02","348","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36/1/348/LRC.json"
0,11,58,5,111,13,4,0,0,2,0,"2019-04-12 17:35:02","349","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36/1/349/LRC.json"
2,10,70,4,114,4,6,0,0,2,0,"2019-04-12 17:35:02","350","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36/1/350/LRC.json"
0,2,21,2,34,4,1,0,0,2,0,"2019-04-12 17:35:02","351","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36A/1/351/LRC.json"
7,5,66,11,102,25,10,0,0,8,0,"2019-04-12 17:35:02","352","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/352/LRC.json"
5,9,66,6,123,17,9,0,0,8,0,"2019-04-12 17:35:02","353","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/353/LRC.json"
6,6,84,7,112,12,6,0,0,1,0,"2019-04-12 17:35:02","354","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/354/LRC.json"
5,5,87,15,107,18,9,0,0,2,0,"2019-04-12 17:35:02","355","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/355/LRC.json"
1,9,70,16,116,18,6,0,0,10,0,"2019-04-12 17:35:02","356","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/356/LRC.json"
2,5,71,4,121,29,8,0,0,7,0,"2019-04-12 17:35:02","357","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/357/LRC.json"
5,8,88,7,99,21,15,0,0,6,0,"2019-04-12 17:35:02","358","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/358/LRC.json"
1,9,92,10,94,19,6,0,0,17,0,"2019-04-12 17:35:02","359","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/359/LRC.json"
3,7,75,9,109,24,12,0,0,0,0,"2019-04-12 17:35:02","360","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/360/LRC.json"
1,9,78,11,107,28,10,0,0,9,0,"2019-04-12 17:35:02","361","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/361/LRC.json"
3,7,81,6,121,15,15,0,0,5,0,"2019-04-12 17:35:02","362","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/362/LRC.json"
5,6,70,7,105,27,6,0,0,10,0,"2019-04-12 17:35:02","363","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/363/LRC.json"
2,3,76,16,103,24,7,0,0,9,0,"2019-04-12 17:35:02","364","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/364/LRC.json"
0,0,43,0,20,0,0,0,0,0,0,"2019-04-12 17:35:02","365","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36C/1/365/LRC.json"
2,0,83,1,141,6,7,0,0,5,0,"2019-04-12 17:35:02","366","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/366/LRC.json"
0,3,73,1,136,2,10,0,0,15,0,"2019-04-12 17:35:02","367","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/367/LRC.json"
3,5,69,5,152,4,7,0,0,2,0,"2019-04-12 17:35:02","368","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/368/LRC.json"
4,0,54,3,160,2,17,0,0,4,0,"2019-04-12 17:35:02","369","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/369/LRC.json"
0,0,60,2,163,9,7,0,0,4,0,"2019-04-12 17:35:02","370","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/370/LRC.json"
0,0,7,0,5,0,2,0,0,2,0,"2019-04-12 17:35:02","371","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/38/1/371/LRC.json"
1,0,24,1,65,1,1,0,0,0,0,"2019-04-12 17:35:02","372","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/38A/1/372/LRC.json"
0,0,11,0,26,4,0,0,0,0,0,"2019-04-12 17:35:02","373","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/39/1/373/LRC.json"
3,3,47,9,125,7,4,0,0,2,0,"2019-04-12 17:35:02","375","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/40A/1/375/LRC.json"
5,1,44,9,50,12,5,0,0,4,0,"2019-04-12 17:35:02","376","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/1/376/LRC.json"
5,16,71,13,73,18,14,0,0,7,0,"2019-04-12 17:35:02","451","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/451/LRC.json"
3,9,74,15,69,18,13,0,0,10,0,"2019-04-12 17:35:02","452","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/452/LRC.json"
3,9,78,12,89,10,8,0,0,7,0,"2019-04-12 17:35:02","453","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/453/LRC.json"
