"165","166","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
3,4,0,58,2,89,41,15,0,0,3,0,"2019-04-12 17:35:02","339","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31/1/339/LRP.json"
3,2,4,65,1,95,21,10,0,0,1,0,"2019-04-12 17:35:02","340","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31/1/340/LRP.json"
1,0,0,8,2,8,1,1,0,0,0,0,"2019-04-12 17:35:02","341","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31A/1/341/LRP.json"
0,0,0,3,0,5,1,2,0,0,0,0,"2019-04-12 17:35:02","342","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31B/1/342/LRP.json"
0,0,0,15,2,3,0,0,0,0,0,0,"2019-04-12 17:35:02","343","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/32/1/343/LRP.json"
1,1,0,11,1,19,2,0,0,0,1,0,"2019-04-12 17:35:02","344","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/33/1/344/LRP.json"
1,0,3,34,4,80,3,2,0,0,1,0,"2019-04-12 17:35:02","345","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/34/1/345/LRP.json"
0,1,4,45,2,75,1,3,0,0,1,0,"2019-04-12 17:35:02","346","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/34/1/346/LRP.json"
1,1,0,23,4,82,9,8,0,0,0,0,"2019-04-12 17:35:02","347","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/35/1/347/LRP.json"
2,1,10,61,3,114,6,5,0,0,0,0,"2019-04-12 17:35:02","348","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36/1/348/LRP.json"
