"165","166","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
3,3,0,60,2,92,41,11,0,0,3,0,"2019-04-12 17:35:02","339","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31/1/339/GOB.json"
3,1,2,69,1,97,22,6,0,0,1,0,"2019-04-12 17:35:02","340","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31/1/340/GOB.json"
1,0,0,7,2,8,1,2,0,0,0,0,"2019-04-12 17:35:02","341","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31A/1/341/GOB.json"
0,0,0,3,0,7,1,0,0,0,0,0,"2019-04-12 17:35:02","342","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/31B/1/342/GOB.json"
0,0,0,15,2,3,0,0,0,0,0,0,"2019-04-12 17:35:02","343","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/32/1/343/GOB.json"
1,1,0,11,1,19,2,0,0,0,1,0,"2019-04-12 17:35:02","344","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/33/1/344/GOB.json"
1,0,3,34,4,81,3,1,0,0,1,0,"2019-04-12 17:35:02","345","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/34/1/345/GOB.json"
0,1,4,45,2,75,1,3,0,0,1,0,"2019-04-12 17:35:02","346","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/34/1/346/GOB.json"
1,1,0,23,4,84,10,1,0,0,4,0,"2019-04-12 17:35:02","347","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/35/1/347/GOB.json"
2,1,4,62,3,122,6,1,0,0,0,0,"2019-04-12 17:35:02","348","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36/1/348/GOB.json"
0,0,3,58,5,120,13,3,0,0,2,0,"2019-04-12 17:35:02","349","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36/1/349/GOB.json"
2,0,2,74,3,123,4,2,0,0,2,0,"2019-04-12 17:35:02","350","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36/1/350/GOB.json"
0,1,1,21,2,35,4,0,0,0,2,0,"2019-04-12 17:35:02","351","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36A/1/351/GOB.json"
6,6,5,66,11,107,22,3,0,0,8,0,"2019-04-12 17:35:02","352","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/352/GOB.json"
3,4,5,70,4,130,16,3,0,0,8,0,"2019-04-12 17:35:02","353","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/353/GOB.json"
6,3,4,87,4,114,12,2,0,0,2,0,"2019-04-12 17:35:02","354","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/354/GOB.json"
5,5,4,93,13,105,18,3,0,0,2,0,"2019-04-12 17:35:02","355","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/355/GOB.json"
1,8,4,72,12,120,19,0,0,0,10,0,"2019-04-12 17:35:02","356","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/356/GOB.json"
2,2,2,73,3,129,25,4,0,0,7,0,"2019-04-12 17:35:02","357","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/1/357/GOB.json"
4,10,7,93,6,106,15,2,0,0,6,0,"2019-04-12 17:35:02","358","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/358/GOB.json"
1,4,5,100,4,96,19,7,0,0,12,0,"2019-04-12 17:35:02","359","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/359/GOB.json"
1,3,5,80,8,113,22,3,0,0,4,0,"2019-04-12 17:35:02","360","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/360/GOB.json"
1,1,3,82,8,116,24,7,0,0,11,0,"2019-04-12 17:35:02","361","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/361/GOB.json"
3,6,5,82,6,122,15,9,0,0,5,0,"2019-04-12 17:35:02","362","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/36B/2/362/GOB.json"
