"216","3","424","425","426","427","428","429","430","431","BLC","IMP","NUL","REC","hora_proceso","numero","url"
0,91,0,2,0,,1,2,15,83,14,0,0,0,"2023-04-26 09:25:01","1777","https://rionegro.datosoficiales.com/resultados/RN/1/2848/1/1777/LEC.json"
0,9,49,1,0,,3,24,9,73,28,0,0,0,"2023-04-21 12:25:01","1773","https://rionegro.datosoficiales.com/resultados/RN/1/2849/1/1773/LEC.json"
1,22,44,1,0,,2,19,13,72,22,0,7,0,"2023-04-20 15:00:01","1774","https://rionegro.datosoficiales.com/resultados/RN/1/2849/1/1774/LEC.json"
0,0,0,0,0,,2,1,86,82,5,0,2,0,"2023-04-20 15:00:01","1779","https://rionegro.datosoficiales.com/resultados/RN/1/2851/1/1779/LEC.json"
0,0,0,0,0,,2,1,86,82,5,0,2,0,"2023-04-20 15:00:01","1780","https://rionegro.datosoficiales.com/resultados/RN/1/2851/1/1780/LEC.json"
12,62,5,5,3,,8,36,9,97,22,0,4,0,"2023-04-20 14:25:01","1329","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1329/LEC.json"
10,58,8,2,3,,9,23,14,93,28,0,3,0,"2023-04-22 12:25:01","1330","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1330/LEC.json"
5,87,17,1,1,,7,14,21,78,20,0,6,0,"2023-04-22 13:00:01","1331","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1331/LEC.json"
5,75,12,4,0,,2,26,12,82,25,0,4,0,"2023-04-20 13:25:01","1332","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1332/LEC.json"
15,67,8,2,3,,6,15,18,86,27,0,2,0,"2023-04-21 13:25:01","1333","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1333/LEC.json"
9,69,14,2,1,,11,20,14,99,29,0,3,0,"2023-04-20 13:00:01","1334","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1334/LEC.json"
10,70,9,3,2,,3,29,11,66,48,0,7,0,"2023-04-20 12:25:01","1335","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1335/LEC.json"
16,56,6,6,1,,11,26,29,91,38,0,0,0,"2023-04-21 16:00:01","1336","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1336/LEC.json"
9,71,7,3,5,,10,12,9,67,60,0,3,0,"2023-04-22 10:25:01","1337","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1337/LEC.json"
13,75,5,3,0,,8,14,10,90,31,0,4,0,"2023-04-21 10:50:01","1338","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1338/LEC.json"
