"165","216","3","424","425","426","427","428","429","430","431","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
0,0,91,0,2,0,33,1,2,15,48,16,0,0,0,0,"2023-04-26 09:25:01","1777","https://rionegro.datosoficiales.com/resultados/RN/1/2848/1/1777/LRP.json"
1,0,9,48,1,0,10,3,24,6,64,29,0,0,0,0,"2023-04-21 12:25:01","1773","https://rionegro.datosoficiales.com/resultados/RN/1/2849/1/1773/LRP.json"
0,1,22,47,1,0,11,2,21,4,70,17,0,0,7,0,"2023-04-20 15:00:01","1774","https://rionegro.datosoficiales.com/resultados/RN/1/2849/1/1774/LRP.json"
1,0,0,0,0,0,0,2,2,84,85,2,0,0,2,0,"2023-04-20 15:00:01","1779","https://rionegro.datosoficiales.com/resultados/RN/1/2851/1/1779/LRP.json"
1,0,0,0,0,0,0,2,2,84,85,2,0,0,2,0,"2023-04-20 15:00:01","1780","https://rionegro.datosoficiales.com/resultados/RN/1/2851/1/1780/LRP.json"
3,11,60,6,4,3,23,8,41,8,75,17,0,0,4,0,"2023-04-20 14:25:01","1329","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1329/LRP.json"
1,11,54,7,2,3,27,9,26,14,65,28,0,0,4,0,"2023-04-22 12:25:01","1330","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1330/LRP.json"
2,5,81,17,1,1,28,7,19,21,48,20,0,0,7,0,"2023-04-22 13:00:01","1331","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1331/LRP.json"
3,5,71,12,3,0,16,2,33,12,65,21,0,0,4,0,"2023-04-20 13:25:01","1332","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1332/LRP.json"
2,15,65,8,2,4,27,6,18,19,59,22,0,0,2,0,"2023-04-21 13:25:01","1333","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1333/LRP.json"
1,10,67,15,2,1,23,13,22,15,73,24,0,0,5,0,"2023-04-20 13:00:01","1334","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1334/LRP.json"
4,10,70,10,3,2,22,3,29,12,63,23,0,0,7,0,"2023-04-20 12:25:01","1335","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1335/LRP.json"
0,16,53,6,6,1,19,11,34,27,72,35,0,0,0,0,"2023-04-21 16:00:01","1336","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1336/LRP.json"
0,9,72,9,3,5,26,11,16,10,66,26,0,0,3,0,"2023-04-22 10:25:01","1337","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1337/LRP.json"
2,14,74,8,3,0,28,8,16,10,63,23,0,0,4,0,"2023-04-21 10:50:01","1338","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1338/LRP.json"
3,5,60,17,4,4,34,8,20,15,68,49,0,0,0,0,"2023-04-22 10:50:01","1339","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1339/LRP.json"
