"165","216","424","425","426","427","428","429","430","431","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
0,0,0,2,0,35,1,3,15,143,2,1,0,4,2,"2023-04-16 22:50:01","1777","https://rionegro.datosoficiales.com/resultados/RN/1/2848/1/1777/GOB.json"
1,0,36,1,0,11,2,30,7,86,1,0,0,5,0,"2023-04-16 22:35:01","1773","https://rionegro.datosoficiales.com/resultados/RN/1/2849/1/1773/GOB.json"
0,1,35,1,0,14,2,25,3,109,0,2,0,7,0,"2023-04-16 22:35:01","1774","https://rionegro.datosoficiales.com/resultados/RN/1/2849/1/1774/GOB.json"
1,0,0,0,0,0,2,2,77,93,0,4,0,2,0,"2023-04-17 00:30:01","1779","https://rionegro.datosoficiales.com/resultados/RN/1/2851/1/1779/GOB.json"
1,0,0,0,0,0,2,2,77,93,0,4,0,2,0,"2023-04-17 00:20:02","1780","https://rionegro.datosoficiales.com/resultados/RN/1/2851/1/1780/GOB.json"
2,11,6,4,3,23,8,52,8,140,3,0,0,3,0,"2023-04-16 23:20:01","1329","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1329/GOB.json"
2,10,7,2,3,26,5,37,14,121,20,2,0,5,0,"2023-04-16 23:20:01","1330","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1330/GOB.json"
2,5,17,1,2,29,7,33,21,121,10,2,0,8,1,"2023-04-16 23:20:01","1331","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1331/GOB.json"
2,7,10,4,0,16,2,48,12,128,16,1,0,3,0,"2023-04-17 00:10:01","1332","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1332/GOB.json"
2,15,8,2,4,26,6,30,18,119,17,0,1,2,1,"2023-04-16 23:20:01","1333","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1333/GOB.json"
1,11,13,2,1,22,13,32,14,142,19,0,0,1,0,"2023-04-16 23:20:01","1334","https://rionegro.datosoficiales.com/resultados/RN/1/2855/1/1334/GOB.json"
4,10,8,3,2,21,4,46,11,131,2,0,0,7,0,"2023-04-16 23:00:01","1335","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1335/GOB.json"
0,16,6,6,1,18,11,46,27,119,21,0,2,7,0,"2023-04-17 01:15:01","1336","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1336/GOB.json"
0,10,9,3,5,27,12,25,10,136,6,0,0,3,0,"2023-04-17 00:10:01","1337","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1337/GOB.json"
2,13,2,3,0,27,8,25,10,145,5,0,2,2,0,"2023-04-16 23:00:01","1338","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1338/GOB.json"
3,5,14,3,4,35,8,35,14,101,3,0,0,0,0,"2023-04-16 23:00:01","1339","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1339/GOB.json"
4,12,5,4,3,40,8,3,7,69,4,0,0,66,0,"2023-04-16 23:00:01","1340","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1340/GOB.json"
2,15,7,2,1,27,13,39,16,130,13,0,0,3,0,"2023-04-16 22:55:01","1342","https://rionegro.datosoficiales.com/resultados/RN/1/2855/2/1342/GOB.json"
1,6,5,5,2,27,4,42,6,133,3,0,0,4,0,"2023-04-17 00:45:01","1352","https://rionegro.datosoficiales.com/resultados/RN/1/2855/3/1352/GOB.json"
3,7,7,2,2,24,12,24,10,148,3,0,0,4,0,"2023-04-16 22:40:01","1353","https://rionegro.datosoficiales.com/resultados/RN/1/2855/3/1353/GOB.json"
0,19,11,0,4,20,11,23,14,133,2,0,0,7,0,"2023-04-16 22:40:01","1354","https://rionegro.datosoficiales.com/resultados/RN/1/2855/3/1354/GOB.json"
2,7,7,4,1,27,9,39,10,126,1,0,0,4,0,"2023-04-16 22:40:01","1355","https://rionegro.datosoficiales.com/resultados/RN/1/2855/3/1355/GOB.json"
2,18,2,5,3,16,8,34,16,106,2,0,0,2,0,"2023-04-16 22:45:01","1356","https://rionegro.datosoficiales.com/resultados/RN/1/2855/3/1356/GOB.json"
0,11,3,3,6,36,7,49,13,104,5,0,0,2,0,"2023-04-16 22:35:01","1357","https://rionegro.datosoficiales.com/resultados/RN/1/2855/3/1357/GOB.json"
1,10,5,5,3,33,6,23,7,140,22,0,0,5,0,"2023-04-16 23:25:01","1321","https://rionegro.datosoficiales.com/resultados/RN/1/2855/4/1321/GOB.json"
2,17,11,4,5,23,3,27,8,44,14,0,0,5,0,"2023-04-17 00:10:01","1323","https://rionegro.datosoficiales.com/resultados/RN/1/2855/4/1323/GOB.json"
1,9,10,2,4,24,6,20,16,140,26,1,0,12,0,"2023-04-17 00:10:01","1324","https://rionegro.datosoficiales.com/resultados/RN/1/2855/4/1324/GOB.json"
2,10,9,6,1,31,16,24,27,62,85,0,0,5,0,"2023-04-17 00:10:01","1325","https://rionegro.datosoficiales.com/resultados/RN/1/2855/4/1325/GOB.json"
0,8,7,0,2,28,11,39,9,149,12,0,0,7,0,"2023-04-17 00:45:01","1326","https://rionegro.datosoficiales.com/resultados/RN/1/2855/4/1326/GOB.json"
0,11,23,5,2,37,8,37,17,105,19,0,0,0,4,"2023-04-17 00:10:01","1327","https://rionegro.datosoficiales.com/resultados/RN/1/2855/4/1327/GOB.json"
1,0,4,1,2,22,10,21,15,134,29,0,0,4,0,"2023-04-16 23:25:01","1328","https://rionegro.datosoficiales.com/resultados/RN/1/2855/4/1328/GOB.json"
3,8,5,0,1,25,6,27,13,143,0,0,1,9,0,"2023-04-17 00:10:01","1313","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1313/GOB.json"
0,10,4,2,5,15,6,27,10,140,18,1,0,10,0,"2023-04-16 22:40:01","1314","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1314/GOB.json"
4,8,9,7,2,29,6,28,22,120,4,0,0,4,0,"2023-04-17 00:45:01","1315","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1315/GOB.json"
0,8,5,2,5,22,11,21,17,150,25,0,0,5,0,"2023-04-16 23:15:01","1316","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1316/GOB.json"
1,16,3,5,5,28,13,38,14,125,3,0,0,4,0,"2023-04-16 23:20:01","1317","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1317/GOB.json"
3,6,8,3,1,22,8,25,17,126,1,0,0,1,0,"2023-04-17 01:00:01","1318","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1318/GOB.json"
1,13,6,4,4,30,11,35,17,115,6,2,0,7,1,"2023-04-16 22:45:01","1320","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1320/GOB.json"
4,13,5,2,1,25,4,24,13,149,0,2,0,4,3,"2023-04-16 23:20:01","1366","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1366/GOB.json"
3,12,8,3,6,31,9,33,10,112,2,1,0,3,1,"2023-04-17 00:40:01","1367","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1367/GOB.json"
4,14,1,2,2,31,8,46,19,125,1,0,0,6,2,"2023-04-17 00:20:02","1368","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1368/GOB.json"
1,13,10,3,1,33,4,23,19,133,2,0,0,1,0,"2023-04-16 23:20:01","1370","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1370/GOB.json"
4,5,12,6,3,22,9,36,13,119,18,2,0,5,0,"2023-04-17 00:20:02","1372","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1372/GOB.json"
2,13,5,5,0,25,9,25,16,124,1,0,0,5,0,"2023-04-16 23:25:01","1343","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1343/GOB.json"
0,8,6,6,0,31,8,35,14,114,7,1,0,9,0,"2023-04-16 23:20:01","1344","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1344/GOB.json"
2,7,8,3,23,25,6,40,16,117,12,0,0,9,0,"2023-04-17 01:00:01","1345","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1345/GOB.json"
2,10,4,4,2,30,9,40,13,118,18,0,0,2,0,"2023-04-17 00:15:01","1346","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1346/GOB.json"
1,9,7,6,4,43,11,31,7,117,0,0,0,0,0,"2023-04-16 23:20:01","1347","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1347/GOB.json"
1,19,5,1,2,26,3,43,8,126,25,0,0,6,0,"2023-04-16 23:25:01","1348","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1348/GOB.json"
2,9,3,2,4,21,14,15,13,140,1,0,0,11,0,"2023-04-16 23:20:01","1349","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1349/GOB.json"
2,10,10,3,0,24,3,42,23,129,12,0,0,7,0,"2023-04-16 23:30:01","1373","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1373/GOB.json"
2,11,10,8,2,29,13,22,15,126,2,0,0,10,0,"2023-04-16 23:30:01","1374","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1374/GOB.json"
2,7,8,2,1,40,5,27,14,112,30,2,0,1,0,"2023-04-16 23:30:01","1375","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1375/GOB.json"
2,6,9,5,2,29,7,37,13,132,2,0,0,1,1,"2023-04-17 00:45:01","1376","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1376/GOB.json"
3,4,9,0,1,21,9,13,14,79,16,0,0,3,1,"2023-04-17 00:20:02","1378","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1378/GOB.json"
3,18,7,7,3,21,16,30,16,128,3,22,2,2,0,"2023-04-16 23:25:01","1358","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1358/GOB.json"
2,18,5,3,0,25,2,34,13,116,17,0,0,9,0,"2023-04-17 00:20:02","1359","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1359/GOB.json"
0,7,14,4,1,31,5,25,15,126,16,0,0,10,0,"2023-04-17 00:20:02","1360","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1360/GOB.json"
2,11,4,4,8,17,13,35,10,125,2,0,0,4,0,"2023-04-16 23:25:01","1361","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1361/GOB.json"
3,6,2,4,2,39,8,27,15,126,0,0,0,0,0,"2023-04-16 23:25:01","1362","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1362/GOB.json"
1,16,5,3,3,22,4,34,20,135,16,0,0,5,0,"2023-04-16 23:30:01","1363","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1363/GOB.json"
1,15,4,5,2,26,8,38,10,119,1,0,1,5,0,"2023-04-17 00:45:01","1364","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1364/GOB.json"
0,21,8,1,0,15,6,35,9,146,51,10,0,2,0,"2023-04-16 23:30:01","1365","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1365/GOB.json"
0,10,5,1,2,135,4,23,9,82,0,0,0,4,1,"2023-04-16 22:50:01","1053","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1053/GOB.json"
2,12,7,1,2,82,1,44,19,71,27,0,0,0,0,"2023-04-16 22:50:01","1054","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1054/GOB.json"
