"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Provincia de Río Negro","RN"
"Departamento","Alto Valle Centro","RN.1"
"Localidad","Cerro Policia","RN.1.2848"
"Establecimiento","Escuela Hogar N 193","RN.1.2848.1"
"Mesa","1777","RN.1.2848.1.1777"
"Localidad","El Cuy","RN.1.2849"
"Establecimiento","Escuela Primaria N 87","RN.1.2849.1"
"Mesa","1773","RN.1.2849.1.1773"
"Mesa","1774","RN.1.2849.1.1774"
"Localidad","Mencue","RN.1.2851"
"Establecimiento","Escuela Primaria N 244","RN.1.2851.1"
"Mesa","1779","RN.1.2851.1.1779"
"Mesa","1780","RN.1.2851.1.1780"
"Localidad","Allen","RN.1.2855"
"Establecimiento","Centro De Educ. Tecnica N 8","RN.1.2855.1"
"Mesa","1329","RN.1.2855.1.1329"
"Mesa","1330","RN.1.2855.1.1330"
"Mesa","1331","RN.1.2855.1.1331"
"Mesa","1332","RN.1.2855.1.1332"
"Mesa","1333","RN.1.2855.1.1333"
"Mesa","1334","RN.1.2855.1.1334"
"Establecimiento","Esc. Secundaria De Rio Negro N 24","RN.1.2855.2"
"Mesa","1335","RN.1.2855.2.1335"
"Mesa","1336","RN.1.2855.2.1336"
"Mesa","1337","RN.1.2855.2.1337"
"Mesa","1338","RN.1.2855.2.1338"
"Mesa","1339","RN.1.2855.2.1339"
"Mesa","1340","RN.1.2855.2.1340"
"Mesa","1341","RN.1.2855.2.1341"
"Mesa","1342","RN.1.2855.2.1342"
"Establecimiento","Esc. Secundaria De Rio Negro N 71","RN.1.2855.3"
"Mesa","1350","RN.1.2855.3.1350"
"Mesa","1351","RN.1.2855.3.1351"
"Mesa","1352","RN.1.2855.3.1352"
"Mesa","1353","RN.1.2855.3.1353"
"Mesa","1354","RN.1.2855.3.1354"
"Mesa","1355","RN.1.2855.3.1355"
"Mesa","1356","RN.1.2855.3.1356"
"Mesa","1357","RN.1.2855.3.1357"
"Establecimiento","Escuela Primaria N 222","RN.1.2855.4"
"Mesa","1321","RN.1.2855.4.1321"
"Mesa","1322","RN.1.2855.4.1322"
"Mesa","1323","RN.1.2855.4.1323"
"Mesa","1324","RN.1.2855.4.1324"
"Mesa","1325","RN.1.2855.4.1325"
"Mesa","1326","RN.1.2855.4.1326"
"Mesa","1327","RN.1.2855.4.1327"
"Mesa","1328","RN.1.2855.4.1328"
