"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Localidad","Plaza Huincul","PH"
"Establecimiento","Esc. 123","PH.1"
"Mesa","740","PH.1.740"
"Mesa","741","PH.1.741"
"Mesa","742","PH.1.742"
"Mesa","743","PH.1.743"
"Mesa","744","PH.1.744"
"Mesa","745","PH.1.745"
"Mesa","746","PH.1.746"
"Mesa","747","PH.1.747"
"Establecimiento","Esc. 133","PH.2"
"Mesa","748","PH.2.748"
"Mesa","749","PH.2.749"
"Mesa","750","PH.2.750"
"Mesa","751","PH.2.751"
"Establecimiento","E.P.E.T. 10","PH.3"
"Mesa","752","PH.3.752"
"Mesa","753","PH.3.753"
"Mesa","754","PH.3.754"
"Mesa","755","PH.3.755"
"Mesa","756","PH.3.756"
"Mesa","757","PH.3.757"
"Mesa","758","PH.3.758"
"Establecimiento","C.P.E.M.58","PH.4"
"Mesa","759","PH.4.759"
"Mesa","760","PH.4.760"
"Mesa","761","PH.4.761"
"Mesa","762","PH.4.762"
"Mesa","763","PH.4.763"
"Mesa","764","PH.4.764"
"Mesa","765","PH.4.765"
"Mesa","785","PH.4.785"
"Establecimiento","Esc. 49","PH.5"
"Mesa","766","PH.5.766"
"Mesa","767","PH.5.767"
"Mesa","768","PH.5.768"
"Mesa","769","PH.5.769"
"Mesa","770","PH.5.770"
"Establecimiento","Esc. 159","PH.6"
"Mesa","771","PH.6.771"
"Mesa","772","PH.6.772"
"Mesa","773","PH.6.773"
"Mesa","774","PH.6.774"
"Mesa","775","PH.6.775"
"Mesa","776","PH.6.776"
"Mesa","777","PH.6.777"
"Establecimiento","Esc. 334","PH.7"
"Mesa","778","PH.7.778"
"Mesa","779","PH.7.779"
"Mesa","780","PH.7.780"
"Mesa","781","PH.7.781"
"Mesa","782","PH.7.782"
"Mesa","783","PH.7.783"
"Mesa","784","PH.7.784"
