"151","166","194","50","67","72","901","915","921","BLC","IMP","OBS","hora_proceso","numero","url"
95,12,5,3,20,91,15,7,16,4,0,0,"2023-09-03 18:40:02","1","https://rincondelossauces.datosoficiales.com/resultados/RS/144/1/CON.json"
91,11,2,1,9,78,24,11,9,5,0,0,"2023-09-03 18:45:01","2","https://rincondelossauces.datosoficiales.com/resultados/RS/144/2/CON.json"
94,9,2,4,19,92,11,9,15,8,0,0,"2023-09-03 18:45:01","3","https://rincondelossauces.datosoficiales.com/resultados/RS/144/3/CON.json"
86,11,3,3,20,101,9,8,14,2,0,0,"2023-09-03 18:40:02","4","https://rincondelossauces.datosoficiales.com/resultados/RS/144/4/CON.json"
87,15,1,6,24,105,12,8,12,6,0,0,"2023-09-03 18:40:02","5","https://rincondelossauces.datosoficiales.com/resultados/RS/144/5/CON.json"
93,14,3,3,20,93,6,12,8,5,0,0,"2023-09-03 18:50:01","10","https://rincondelossauces.datosoficiales.com/resultados/RS/145/10/CON.json"
109,10,1,3,17,77,12,7,11,2,0,0,"2023-09-03 18:50:01","11","https://rincondelossauces.datosoficiales.com/resultados/RS/145/11/CON.json"
91,13,3,3,16,81,16,5,7,5,0,0,"2023-09-03 18:50:01","6","https://rincondelossauces.datosoficiales.com/resultados/RS/145/6/CON.json"
98,14,2,4,17,70,5,7,11,6,0,0,"2023-09-03 18:50:01","7","https://rincondelossauces.datosoficiales.com/resultados/RS/145/7/CON.json"
107,9,3,2,22,77,12,9,7,15,0,0,"2023-09-03 18:50:01","8","https://rincondelossauces.datosoficiales.com/resultados/RS/145/8/CON.json"
101,14,1,3,26,81,15,6,8,3,0,0,"2023-09-03 18:50:01","9","https://rincondelossauces.datosoficiales.com/resultados/RS/145/9/CON.json"
90,14,3,2,25,100,20,3,11,6,0,0,"2023-09-03 18:40:02","53","https://rincondelossauces.datosoficiales.com/resultados/RS/146/53/CON.json"
96,14,3,2,18,97,11,4,6,4,1,0,"2023-09-03 18:45:01","54","https://rincondelossauces.datosoficiales.com/resultados/RS/146/54/CON.json"
32,11,0,3,16,55,2,4,1,3,0,0,"2023-09-03 18:40:02","7003","https://rincondelossauces.datosoficiales.com/resultados/RS/146/7003/CON.json"
43,8,1,1,19,52,3,6,0,2,0,0,"2023-09-03 18:40:02","7004","https://rincondelossauces.datosoficiales.com/resultados/RS/146/7004/CON.json"
85,10,2,1,26,89,9,9,8,10,0,0,"2023-09-03 18:45:01","22","https://rincondelossauces.datosoficiales.com/resultados/RS/147/22/CON.json"
100,8,6,4,24,94,8,7,8,8,0,0,"2023-09-03 18:50:01","23","https://rincondelossauces.datosoficiales.com/resultados/RS/147/23/CON.json"
109,7,2,5,12,91,15,7,4,7,0,0,"2023-09-03 18:40:02","24","https://rincondelossauces.datosoficiales.com/resultados/RS/147/24/CON.json"
85,13,0,5,25,98,10,6,7,9,0,0,"2023-09-03 18:55:01","25","https://rincondelossauces.datosoficiales.com/resultados/RS/147/25/CON.json"
107,8,1,5,15,92,10,7,8,7,0,0,"2023-09-03 19:10:01","26","https://rincondelossauces.datosoficiales.com/resultados/RS/147/26/CON.json"
93,13,4,2,18,90,12,9,11,12,0,0,"2023-09-03 18:50:01","12","https://rincondelossauces.datosoficiales.com/resultados/RS/284/12/CON.json"
91,12,4,3,34,92,13,11,4,1,0,1,"2023-09-03 18:50:01","13","https://rincondelossauces.datosoficiales.com/resultados/RS/284/13/CON.json"
86,10,5,3,23,87,21,9,11,7,0,0,"2023-09-03 18:50:01","14","https://rincondelossauces.datosoficiales.com/resultados/RS/284/14/CON.json"
82,14,4,2,26,76,12,5,13,4,0,0,"2023-09-03 18:40:02","15","https://rincondelossauces.datosoficiales.com/resultados/RS/284/15/CON.json"
88,13,7,6,27,77,11,6,8,8,0,0,"2023-09-03 18:40:02","16","https://rincondelossauces.datosoficiales.com/resultados/RS/284/16/CON.json"
111,5,3,4,19,82,18,6,11,8,0,0,"2023-09-03 18:50:01","17","https://rincondelossauces.datosoficiales.com/resultados/RS/284/17/CON.json"
103,9,4,2,19,77,13,7,10,4,0,1,"2023-09-03 18:40:02","18","https://rincondelossauces.datosoficiales.com/resultados/RS/284/18/CON.json"
81,11,1,5,28,85,17,7,8,4,0,0,"2023-09-03 18:50:01","19","https://rincondelossauces.datosoficiales.com/resultados/RS/284/19/CON.json"
103,14,3,6,19,69,19,9,9,5,0,1,"2023-09-03 18:50:01","20","https://rincondelossauces.datosoficiales.com/resultados/RS/284/20/CON.json"
87,7,3,2,24,97,13,9,6,2,0,0,"2023-09-03 18:40:02","21","https://rincondelossauces.datosoficiales.com/resultados/RS/284/21/CON.json"
