"151","166","194","50","67","72","901","915","921","BLC","IMP","OBS","hora_proceso","numero","url"
98,12,3,4,24,94,13,5,12,3,0,0,"2023-09-03 18:40:02","1","https://rincondelossauces.datosoficiales.com/resultados/RS/144/1/INT.json"
94,10,1,2,15,77,21,11,7,3,0,0,"2023-09-03 18:45:01","2","https://rincondelossauces.datosoficiales.com/resultados/RS/144/2/INT.json"
104,8,2,3,20,89,14,7,10,6,0,0,"2023-09-03 18:45:01","3","https://rincondelossauces.datosoficiales.com/resultados/RS/144/3/INT.json"
91,14,5,1,25,91,8,8,12,2,0,0,"2023-09-03 18:40:02","4","https://rincondelossauces.datosoficiales.com/resultados/RS/144/4/INT.json"
96,12,0,9,26,106,9,5,7,6,0,0,"2023-09-03 18:40:02","5","https://rincondelossauces.datosoficiales.com/resultados/RS/144/5/INT.json"
99,14,4,6,18,86,7,10,8,5,0,0,"2023-09-03 18:50:01","10","https://rincondelossauces.datosoficiales.com/resultados/RS/145/10/INT.json"
113,10,2,3,20,75,11,7,5,3,0,0,"2023-09-03 18:50:01","11","https://rincondelossauces.datosoficiales.com/resultados/RS/145/11/INT.json"
95,14,3,1,17,76,15,7,6,6,0,0,"2023-09-03 18:50:01","6","https://rincondelossauces.datosoficiales.com/resultados/RS/145/6/INT.json"
99,14,2,3,17,70,6,9,9,5,0,0,"2023-09-03 18:50:01","7","https://rincondelossauces.datosoficiales.com/resultados/RS/145/7/INT.json"
109,6,4,3,22,78,14,10,6,11,0,0,"2023-09-03 18:50:01","8","https://rincondelossauces.datosoficiales.com/resultados/RS/145/8/INT.json"
101,13,1,5,26,82,13,5,7,5,0,0,"2023-09-03 18:50:01","9","https://rincondelossauces.datosoficiales.com/resultados/RS/145/9/INT.json"
98,12,5,3,26,96,19,4,6,5,0,0,"2023-09-03 18:40:02","53","https://rincondelossauces.datosoficiales.com/resultados/RS/146/53/INT.json"
106,12,2,2,20,96,8,3,2,4,1,0,"2023-09-03 18:45:01","54","https://rincondelossauces.datosoficiales.com/resultados/RS/146/54/INT.json"
30,11,1,2,17,55,4,6,0,1,0,0,"2023-09-03 18:40:02","7003","https://rincondelossauces.datosoficiales.com/resultados/RS/146/7003/INT.json"
43,7,1,2,20,51,4,5,0,2,0,0,"2023-09-03 18:40:02","7004","https://rincondelossauces.datosoficiales.com/resultados/RS/146/7004/INT.json"
87,5,1,1,32,84,14,9,6,10,0,0,"2023-09-03 18:45:01","22","https://rincondelossauces.datosoficiales.com/resultados/RS/147/22/INT.json"
108,9,5,3,25,89,9,7,7,5,0,0,"2023-09-03 18:50:01","23","https://rincondelossauces.datosoficiales.com/resultados/RS/147/23/INT.json"
106,5,2,5,17,89,16,7,4,8,0,0,"2023-09-03 18:40:02","24","https://rincondelossauces.datosoficiales.com/resultados/RS/147/24/INT.json"
91,10,0,6,25,93,12,6,7,8,0,0,"2023-09-03 18:55:01","25","https://rincondelossauces.datosoficiales.com/resultados/RS/147/25/INT.json"
104,9,0,3,21,89,16,6,5,7,0,0,"2023-09-03 19:10:01","26","https://rincondelossauces.datosoficiales.com/resultados/RS/147/26/INT.json"
97,10,5,3,17,91,14,6,11,10,0,0,"2023-09-03 18:50:01","12","https://rincondelossauces.datosoficiales.com/resultados/RS/284/12/INT.json"
94,11,3,4,32,94,12,10,4,1,0,1,"2023-09-03 18:50:01","13","https://rincondelossauces.datosoficiales.com/resultados/RS/284/13/INT.json"
87,8,5,4,25,82,21,11,12,7,0,0,"2023-09-03 18:50:01","14","https://rincondelossauces.datosoficiales.com/resultados/RS/284/14/INT.json"
86,12,4,2,26,76,13,5,11,3,0,0,"2023-09-03 18:40:02","15","https://rincondelossauces.datosoficiales.com/resultados/RS/284/15/INT.json"
95,9,4,5,32,70,15,5,7,9,0,0,"2023-09-03 18:40:02","16","https://rincondelossauces.datosoficiales.com/resultados/RS/284/16/INT.json"
117,7,5,2,22,76,19,5,6,8,0,0,"2023-09-03 18:50:01","17","https://rincondelossauces.datosoficiales.com/resultados/RS/284/17/INT.json"
102,10,5,2,23,73,13,5,8,7,0,1,"2023-09-03 18:40:02","18","https://rincondelossauces.datosoficiales.com/resultados/RS/284/18/INT.json"
94,8,2,7,29,77,15,5,7,3,0,0,"2023-09-03 18:50:01","19","https://rincondelossauces.datosoficiales.com/resultados/RS/284/19/INT.json"
104,14,3,6,20,67,18,12,7,5,0,1,"2023-09-03 18:50:01","20","https://rincondelossauces.datosoficiales.com/resultados/RS/284/20/INT.json"
87,10,2,2,24,91,14,11,6,3,0,0,"2023-09-03 18:40:02","21","https://rincondelossauces.datosoficiales.com/resultados/RS/284/21/INT.json"
99,10,1,3,28,76,17,8,4,4,0,0,"2023-09-03 18:40:02","27","https://rincondelossauces.datosoficiales.com/resultados/RS/775/27/INT.json"
99,11,2,4,27,80,7,2,12,6,0,0,"2023-09-03 18:40:02","28","https://rincondelossauces.datosoficiales.com/resultados/RS/775/28/INT.json"
90,10,3,5,29,74,9,4,7,9,0,0,"2023-09-03 18:40:02","29","https://rincondelossauces.datosoficiales.com/resultados/RS/775/29/INT.json"
109,8,7,4,27,74,10,8,5,5,0,0,"2023-09-03 18:45:01","30","https://rincondelossauces.datosoficiales.com/resultados/RS/775/30/INT.json"
81,10,5,2,25,86,14,8,6,6,0,0,"2023-09-03 18:45:01","31","https://rincondelossauces.datosoficiales.com/resultados/RS/775/31/INT.json"
92,12,1,2,23,94,24,1,6,9,0,0,"2023-09-03 18:45:01","32","https://rincondelossauces.datosoficiales.com/resultados/RS/775/32/INT.json"
115,11,4,1,20,69,12,5,9,2,0,0,"2023-09-03 18:50:01","33","https://rincondelossauces.datosoficiales.com/resultados/RS/775/33/INT.json"
111,10,4,1,27,76,17,9,5,9,0,0,"2023-09-03 18:50:01","34","https://rincondelossauces.datosoficiales.com/resultados/RS/775/34/INT.json"
99,10,2,6,28,73,13,4,4,2,0,0,"2023-09-03 18:50:01","35","https://rincondelossauces.datosoficiales.com/resultados/RS/775/35/INT.json"
109,11,2,6,21,71,16,7,8,3,0,0,"2023-09-03 18:50:01","36","https://rincondelossauces.datosoficiales.com/resultados/RS/775/36/INT.json"
93,7,1,5,21,88,14,5,13,4,0,0,"2023-09-03 18:40:02","37","https://rincondelossauces.datosoficiales.com/resultados/RS/776/37/INT.json"
93,13,2,2,20,72,17,8,10,6,0,0,"2023-09-03 18:40:02","38","https://rincondelossauces.datosoficiales.com/resultados/RS/776/38/INT.json"
100,14,2,2,24,67,17,4,9,7,0,0,"2023-09-03 18:40:02","39","https://rincondelossauces.datosoficiales.com/resultados/RS/776/39/INT.json"
86,12,8,0,19,79,18,6,4,7,0,0,"2023-09-03 18:40:02","40","https://rincondelossauces.datosoficiales.com/resultados/RS/776/40/INT.json"
