"1","1","MOVIMIENTO DE INTEGRACION Y DESARROLLO","RAMON RIOSECO"
"180","180","NUEVO COMPROMISO NEUQUINO","RUBEN “OJITO” GARCIA"
"190","190","DESARROLLO CIUDADANO","RUBEN “OJITO” GARCIA"
"191","191","COMUNIDAD","RUBEN “OJITO” GARCIA"
"192","192","AVANZAR NEUQUEN","RUBEN “OJITO” GARCIA"
"193","193","ARRIBA NEUQUEN","RUBEN “OJITO” GARCIA"
"23","23","UNION POPULAR FEDERAL","RUBEN “OJITO” GARCIA"
"40","40","MOVIMIENTO LIBRES DEL SUR","RAMON RIOSECO"
"41","41","FRENTE GRANDE","RUBEN “OJITO” GARCIA"
"50","50","PARTIDO SOCIALISTA","RUBEN “OJITO” GARCIA"
"64","64","PROPUESTA REPUBLICANA","RUBEN “OJITO” GARCIA"
"67","67","KOLINA","RAMON RIOSECO"
"677","677","ALIANZA TODOS POR CUTRAL CO","RAMON RIOSECO"
"678","678","ALIANZA FRENTE DE IZQUIERDA Y TRABAJADORES UNIDAD","SAMANTA HERRERA"
"681","681","ALIANZA JUNTOS POR EL CAMBIO NEUQUEN","RUBEN “OJITO” GARCIA"
"72","72","INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR","RAMON RIOSECO"
"842","842","FRENTE SOCIAL POR LA DIGNIDAD","RUBEN “OJITO” GARCIA"
"847","847","FRENTE SOCIAL COMUNITARIO","RAMON RIOSECO"
"863","863","FRENTE INTEGRADOR NEUQUINO","RUBEN “OJITO” GARCIA"
"914","914","ENERGIA CIUDADANA","RUBEN “OJITO” GARCIA"
"BLC",,"Voto en Blanco",
"IMP",,"Votos Impugnados",
"OBS",,"Total Observados",
