"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Localidad","Cutral Co","CC"
"Establecimiento","C.P.E.M 51","CC.1"
"Mesa","722","CC.1.722"
"Mesa","723","CC.1.723"
"Mesa","724","CC.1.724"
"Mesa","725","CC.1.725"
"Mesa","726","CC.1.726"
"Mesa","727","CC.1.727"
"Establecimiento","ESCUELA 269","CC.10"
"Mesa","714","CC.10.714"
"Establecimiento","ESCUELA 272","CC.11"
"Mesa","662","CC.11.662"
"Mesa","663","CC.11.663"
"Mesa","664","CC.11.664"
"Mesa","665","CC.11.665"
"Mesa","800","CC.11.800"
"Establecimiento","ESCUELA 281","CC.12"
"Mesa","734","CC.12.734"
"Mesa","735","CC.12.735"
"Mesa","736","CC.12.736"
"Mesa","737","CC.12.737"
"Mesa","738","CC.12.738"
"Mesa","739","CC.12.739"
"Establecimiento","ESCUELA 292","CC.13"
"Mesa","675","CC.13.675"
"Mesa","676","CC.13.676"
"Mesa","677","CC.13.677"
"Mesa","678","CC.13.678"
"Mesa","679","CC.13.679"
"Mesa","680","CC.13.680"
"Establecimiento","ESCUELA 45","CC.14"
"Mesa","704","CC.14.704"
"Mesa","705","CC.14.705"
"Mesa","706","CC.14.706"
"Mesa","707","CC.14.707"
"Mesa","708","CC.14.708"
"Establecimiento","GIMNASIO MUNICIPAL MOSCONI","CC.15"
"Mesa","666","CC.15.666"
"Mesa","667","CC.15.667"
"Mesa","668","CC.15.668"
"Mesa","669","CC.15.669"
"Mesa","670","CC.15.670"
"Mesa","671","CC.15.671"
"Mesa","672","CC.15.672"
"Mesa","673","CC.15.673"
"Mesa","674","CC.15.674"
"Establecimiento","I.F.D. 1","CC.16"
"Mesa","728","CC.16.728"
"Mesa","729","CC.16.729"
"Mesa","730","CC.16.730"
"Mesa","731","CC.16.731"
"Mesa","732","CC.16.732"
"Mesa","733","CC.16.733"
"Establecimiento","C.P.E.M. 20","CC.2"
"Mesa","687","CC.2.687"
"Mesa","688","CC.2.688"
"Mesa","689","CC.2.689"
"Mesa","690","CC.2.690"
"Mesa","691","CC.2.691"
"Establecimiento","C.P.E.M. 6","CC.3"
"Mesa","657","CC.3.657"
"Mesa","658","CC.3.658"
"Mesa","659","CC.3.659"
"Mesa","660","CC.3.660"
"Mesa","661","CC.3.661"
"Establecimiento","ESCUELA 102","CC.4"
"Mesa","681","CC.4.681"
"Mesa","682","CC.4.682"
"Mesa","683","CC.4.683"
"Mesa","684","CC.4.684"
"Mesa","685","CC.4.685"
"Mesa","686","CC.4.686"
"Establecimiento","ESCUELA 119","CC.5"
"Mesa","652","CC.5.652"
"Mesa","653","CC.5.653"
"Mesa","654","CC.5.654"
"Mesa","655","CC.5.655"
"Mesa","656","CC.5.656"
"Establecimiento","ESCUELA 137","CC.6"
"Mesa","692","CC.6.692"
"Mesa","693","CC.6.693"
"Mesa","694","CC.6.694"
"Mesa","695","CC.6.695"
"Mesa","696","CC.6.696"
"Mesa","697","CC.6.697"
"Establecimiento","ESCUELA 138","CC.7"
"Mesa","698","CC.7.698"
"Mesa","699","CC.7.699"
"Mesa","700","CC.7.700"
"Mesa","701","CC.7.701"
"Mesa","702","CC.7.702"
"Mesa","703","CC.7.703"
"Establecimiento","ESCUELA 172","CC.8"
"Mesa","709","CC.8.709"
"Mesa","710","CC.8.710"
"Mesa","711","CC.8.711"
"Mesa","712","CC.8.712"
"Mesa","713","CC.8.713"
"Establecimiento","ESCUELA 255","CC.9"
"Mesa","715","CC.9.715"
"Mesa","716","CC.9.716"
"Mesa","717","CC.9.717"
"Mesa","718","CC.9.718"
"Mesa","719","CC.9.719"
"Mesa","720","CC.9.720"
"Mesa","721","CC.9.721"
