"132A- EL CAMBIO DE NUESTRAS VIDAS","132B- LA FUERZA DEL CAMBIO","134A- CELESTE Y BLANCA","136A- UNIR Y FORTALECER LA IZQUIERDA","136B- UNIDAD DE LUCHADORES Y LA IZQUIERDA","151NEUQUEN PAIS","151UNIDOS POR NEUQUEN","193LISTA A","520OJALA LA TIERRA","abstencion","afirmativos","blancos","circuito","comando","departamento","electores","empadronados","establecimiento","hora_proceso","mesa_nro","mesaid","nulos","recurridos","sobres","totalVotos","valid"
30,39,32,17,10,11,2,79,8,77,228,35,"00001",0,"Confluencia",271,347,"ESCUELA 103","Aug 14, 2023, 12:21:53 AM","00001","1500100001X",7,0,271,270,263
18,28,39,14,0,9,5,81,18,81,212,47,"00001",0,"Confluencia",266,347,"ESCUELA 103","Aug 14, 2023, 1:31:53 AM","00002","1500100002X",7,0,266,266,259
24,38,35,10,4,13,8,82,15,82,229,34,"00001",0,"Confluencia",268,350,"ESCUELA 103","Aug 14, 2023, 1:16:53 AM","00003","1500100003X",5,0,268,268,263
18,35,34,20,6,12,4,97,8,72,234,34,"00001",0,"Confluencia",276,348,"ESCUELA 103","Aug 14, 2023, 1:16:53 AM","00004","1500100004X",8,0,276,276,268
27,40,32,3,4,10,0,86,7,94,209,40,"00001",0,"Confluencia",264,348,"ESCUELA 103","Aug 14, 2023, 1:16:53 AM","00005","1500100005X",5,0,264,254,249
27,38,39,13,2,10,3,92,9,79,233,33,"00001",0,"Confluencia",269,348,"ESCUELA 103","Aug 14, 2023, 1:11:53 AM","00006","1500100006X",3,0,269,269,266
22,54,31,10,5,13,3,87,11,76,236,28,"00001",0,"Confluencia",272,348,"ESCUELA 103","Aug 14, 2023, 1:11:53 AM","00007","1500100007X",8,0,272,272,264
24,36,36,8,6,16,5,92,10,85,233,28,"00001",0,"Confluencia",266,351,"ESCUELA 103","Aug 14, 2023, 1:11:53 AM","00008","1500100008X",5,0,266,266,261
31,43,51,8,2,19,7,72,4,81,237,26,"00001",0,"Confluencia",268,349,"ESCUELA 136","Aug 13, 2023, 8:46:53 PM","00009","1500100009X",5,0,268,268,263
31,38,34,14,2,12,2,86,8,83,227,25,"00001",0,"Confluencia",263,346,"ESCUELA 136","Aug 13, 2023, 8:56:53 PM","00010","1500100010X",11,0,263,263,252
24,36,32,18,11,6,2,85,14,70,228,42,"00001",0,"Confluencia",279,347,"ESCUELA 136","Aug 13, 2023, 10:21:53 PM","00011","1500100011X",7,0,278,277,270
18,49,42,12,9,12,1,83,13,74,239,27,"00001",0,"Confluencia",274,348,"ESCUELA 136","Aug 13, 2023, 9:21:53 PM","00012","1500100012X",8,0,274,274,266
21,34,38,8,6,11,2,100,8,70,228,45,"00001",0,"Confluencia",279,349,"ESCUELA 136","Aug 13, 2023, 9:41:53 PM","00013","1500100013X",5,1,279,279,273
22,43,30,14,1,23,1,77,16,71,227,40,"00001",0,"Confluencia",278,349,"ESCUELA 136","Aug 13, 2023, 9:06:53 PM","00014","1500100014X",11,0,278,278,267
25,36,39,15,8,23,0,94,12,60,252,28,"00001",0,"Confluencia",290,350,"ESCUELA 136","Aug 13, 2023, 9:11:53 PM","00015","1500100015X",10,0,290,290,280
