"132A- EL CAMBIO DE NUESTRAS VIDAS","132B- LA FUERZA DEL CAMBIO","133A- HACEMOS","134A- CELESTE Y BLANCA","134B- JUSTA Y SOBERANA","135A- LIBERTAD POR SIEMPRE","136A- UNIR Y FORTALECER LA IZQUIERDA","136B- UNIDAD DE LUCHADORES Y LA IZQUIERDA","1371A- TIERRA, TECHO  Y TRABAJO","13A- IZQUIERDA ANTICAPITALISTA","40A- AZUL Y ROJO","57A- COMPROMISO VECINAL","90B- CONFEDERAL","92A- UNIDAD OBRERA","95A- PRIMERO LA PATRIA","abstencion","afirmativos","blancos","circuito","comando","departamento","electores","empadronados","establecimiento","hora_proceso","mesa_nro","mesaid","nulos","recurridos","sobres","totalVotos","valid"
29,46,6,35,8,85,15,8,5,4,8,1,1,0,2,77,253,14,"00001",0,"Confluencia",271,347,"ESCUELA 103","Aug 14, 2023, 12:21:53 AM","00001","1500100001X",3,0,271,270,267
18,35,1,37,13,103,19,0,2,0,19,0,0,1,1,81,249,13,"00001",0,"Confluencia",266,347,"ESCUELA 103","Aug 14, 2023, 1:31:53 AM","00002","1500100002X",4,0,266,266,262
30,39,4,27,11,100,10,3,4,2,16,0,0,3,1,82,250,11,"00001",0,"Confluencia",268,350,"ESCUELA 103","Aug 14, 2023, 1:16:53 AM","00003","1500100003X",7,0,268,268,261
21,41,2,36,11,121,18,2,1,2,8,1,1,0,0,66,265,9,"00001",0,"Confluencia",276,348,"ESCUELA 103","Aug 14, 2023, 1:16:53 AM","00004","1500100004X",8,0,276,282,274
28,47,4,35,11,103,4,4,4,0,7,0,2,1,0,84,250,9,"00001",0,"Confluencia",264,348,"ESCUELA 103","Aug 14, 2023, 1:16:53 AM","00005","1500100005X",5,0,264,264,259
27,38,2,36,6,115,14,1,4,2,8,0,1,1,2,88,257,0,"00001",0,"Confluencia",269,348,"ESCUELA 103","Aug 14, 2023, 1:11:53 AM","00006","1500100006X",3,0,269,260,257
25,56,3,19,21,107,10,4,4,0,12,0,1,1,0,64,263,12,"00001",0,"Confluencia",272,348,"ESCUELA 103","Aug 14, 2023, 1:11:53 AM","00007","1500100007X",9,0,272,284,275
23,41,2,27,14,115,8,5,0,0,10,1,2,1,1,85,250,13,"00001",0,"Confluencia",266,351,"ESCUELA 103","Aug 14, 2023, 1:11:53 AM","00008","1500100008X",3,0,266,266,263
29,51,2,52,12,83,7,2,3,2,6,1,1,0,1,81,252,11,"00001",0,"Confluencia",268,349,"ESCUELA 136","Aug 13, 2023, 8:46:53 PM","00009","1500100009X",5,0,268,268,263
31,44,4,25,11,96,11,3,2,4,8,1,0,3,2,83,245,9,"00001",0,"Confluencia",263,346,"ESCUELA 136","Aug 13, 2023, 8:56:53 PM","00010","1500100010X",9,0,263,263,254
25,41,4,26,13,106,15,11,1,3,13,0,2,1,3,69,264,9,"00001",0,"Confluencia",279,347,"ESCUELA 136","Aug 13, 2023, 10:21:53 PM","00011","1500100011X",5,0,278,278,273
20,51,1,33,14,98,13,7,4,0,18,0,1,2,1,74,263,6,"00001",0,"Confluencia",274,348,"ESCUELA 136","Aug 13, 2023, 9:21:53 PM","00012","1500100012X",5,0,274,274,269
19,42,9,34,18,112,7,5,9,4,8,0,2,0,1,70,270,6,"00001",0,"Confluencia",279,349,"ESCUELA 136","Aug 13, 2023, 9:41:53 PM","00013","1500100013X",2,1,279,279,276
23,50,9,31,10,101,12,0,2,3,16,2,1,1,0,71,261,9,"00001",0,"Confluencia",278,349,"ESCUELA 136","Aug 13, 2023, 9:06:53 PM","00014","1500100014X",8,0,278,278,270
25,40,2,30,12,115,14,4,3,2,12,0,0,0,2,60,261,18,"00001",0,"Confluencia",290,350,"ESCUELA 136","Aug 13, 2023, 9:11:53 PM","00015","1500100015X",11,0,290,290,279
36,39,1,37,16,89,15,7,3,2,9,0,2,1,0,72,257,13,"00001",0,"Confluencia",276,348,"SAGRADO CORAZON","Aug 13, 2023, 10:56:53 PM","00016","1500100016X",6,0,276,276,270
29,36,1,23,12,91,10,7,2,4,15,2,2,1,0,101,235,6,"00001",0,"Confluencia",245,346,"SAGRADO CORAZON","Aug 13, 2023, 10:56:53 PM","00017","1500100017X",4,0,245,245,241
25,46,2,35,16,85,15,2,2,1,9,2,3,1,3,81,247,14,"00001",0,"Confluencia",266,347,"SAGRADO CORAZON","Aug 13, 2023, 10:56:53 PM","00018","1500100018X",5,0,266,266,261
