"131A- DEMOS","131B- RECONQUISTA","131C- ANTICORRUPCIÓN","132A- EL CAMBIO DE NUESTRAS VIDAS","132B- LA FUERZA DEL CAMBIO","133A- HACEMOS","134A- CELESTE Y BLANCA","134B- JUSTA Y SOBERANA","135A- LIBERTAD POR SIEMPRE","136A- UNIR Y FORTALECER LA IZQUIERDA","136B- UNIDAD DE LUCHADORES Y LA IZQUIERDA","1371A- TIERRA, TECHO  Y TRABAJO","1372B- TRANSFORMAR","1373C- TRES BANDERAS","1374D- GENTE DE TRABAJO","1375E- LABORISTA","13A- IZQUIERDA ANTICAPITALISTA","20A- APERTURA LIBERAL ARGENTINA","40A- AZUL Y ROJO","57A- COMPROMISO VECINAL","90A- DIGNIDAD","90B- CONFEDERAL","92A- UNIDAD OBRERA","94A- COALICION PAZ DEMOCRACIA SOBERANIA","94B- PATRIA UNIDA","94C- TODEX","95A- PRIMERO LA PATRIA","abstencion","afirmativos","blancos","circuito","comando","departamento","electores","empadronados","establecimiento","hora_proceso","mesa_nro","mesaid","nulos","recurridos","sobres","totalVotos","valid"
0,0,0,39,66,8,34,20,49,6,2,7,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,84,236,7,"00101",0,"Adolfo Alsina",245,329,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 8:46:53 PM","00001","1600100001X",2,0,245,245,243
0,0,0,37,58,2,36,33,38,7,1,4,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,90,221,15,"00101",0,"Adolfo Alsina",239,329,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 8:31:53 PM","00002","1600100002X",3,0,239,239,236
0,0,0,38,56,2,42,22,53,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,97,222,9,"00101",0,"Adolfo Alsina",0,328,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 8:36:53 PM","00003","1600100003X",0,0,0,231,231
0,0,0,48,60,8,30,29,44,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,227,4,"00101",0,"Adolfo Alsina",235,327,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 8:36:53 PM","00004","1600100004X",3,0,0,234,231
0,0,0,28,59,6,30,33,43,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,105,209,12,"00101",0,"Adolfo Alsina",221,328,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 9:01:53 PM","00005","1600100005X",2,0,223,223,221
0,0,0,44,59,6,33,19,54,3,1,4,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,87,227,9,"00101",0,"Adolfo Alsina",239,327,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 8:06:53 PM","00006","1600100006X",4,0,239,240,236
0,0,0,48,44,6,44,23,48,7,4,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,85,228,8,"00101",0,"Adolfo Alsina",243,328,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 11:41:53 PM","00007","1600100007X",7,0,243,243,236
0,0,0,32,60,5,30,28,49,7,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,101,217,4,"00101",0,"Adolfo Alsina",229,328,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 8:51:53 PM","00008","1600100008X",6,0,229,227,221
0,0,0,46,56,5,43,24,44,6,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,78,232,14,"00101",0,"Adolfo Alsina",250,328,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 11:31:53 PM","00009","1600100009X",4,0,250,250,246
0,0,0,49,53,5,34,21,48,7,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,97,223,9,"00101",0,"Adolfo Alsina",231,329,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 8:41:53 PM","00010","1600100010X",0,0,231,232,232
0,0,0,55,57,7,24,23,45,2,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,100,219,8,"00101",0,"Adolfo Alsina",228,328,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 8:36:53 PM","00011","1600100011X",1,0,228,228,227
0,0,0,33,52,7,43,21,53,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,98,215,17,"00101",0,"Adolfo Alsina",234,332,"ESC. SECUNDARIA DE RIO NEGRO N 4","Aug 13, 2023, 9:11:53 PM","00012","1600100012X",2,0,234,234,232
