"totalMesas","mesasPublicadas","blancos","nulos","totalVotos","canElectores","canElectoresPublicados","nocomputados","tipCandidatura",1,3,7,10,14,15,21,23,30,33,45,777,911,"hora","horaequipo"
12259,0,0,0,0,4782940,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"30-04-2023 16:21:57","30-04-2023 17:25:02"
12259,8,4,3,770,4782940,2565,0,1,233,212,3,12,0,7,9,2,1,0,6,0,278,"30-04-2023 16:27:57","30-04-2023 17:30:02"
12259,16,15,4,1507,4782940,3697,0,1,594,478,3,16,1,11,16,2,2,0,6,0,359,"30-04-2023 16:33:57","30-04-2023 17:35:02"
12259,41,74,10,4527,4782940,9077,0,1,1743,1546,12,51,4,20,41,7,8,4,12,4,991,"30-04-2023 16:37:57","30-04-2023 17:40:01"
12259,78,194,23,9883,4782940,18232,0,1,4147,3066,34,137,20,53,80,19,16,12,23,6,2053,"30-04-2023 16:43:57","30-04-2023 17:45:02"
12259,114,335,35,15720,4782940,28692,0,1,6760,4807,49,212,33,81,119,25,33,27,35,13,3156,"30-04-2023 16:47:57","30-04-2023 17:50:02"
12259,206,665,103,31199,4782940,57262,1,1,13714,9572,152,369,54,176,210,53,71,62,64,27,5906,"30-04-2023 16:53:57","30-04-2023 17:55:03"
12259,256,868,139,40568,4782940,73747,1,1,18105,12170,182,457,80,233,289,65,87,90,74,43,7685,"30-04-2023 16:57:57","30-04-2023 18:00:01"
12259,408,1490,269,69955,4782940,124418,6,1,31582,21033,328,829,131,396,501,126,145,153,114,78,12774,"30-04-2023 17:03:56","30-04-2023 18:05:03"
12259,623,2449,429,113477,4782940,200588,28,1,51438,33474,501,1439,219,654,816,198,250,255,184,136,21007,"30-04-2023 17:07:57","30-04-2023 18:10:02"
12259,8855,47065,9079,2138537,4782940,3417536,397,1,940600,592360,8520,28556,4115,12091,16336,3458,3507,3660,3677,2781,462608,"30-04-2023 18:57:57","30-04-2023 20:00:02"
12259,9290,49663,9572,2250228,4782940,3590371,420,1,986033,622363,8971,30086,4320,12779,17333,3644,3692,3870,3867,2901,490714,"30-04-2023 19:03:57","30-04-2023 20:05:02"
12259,9683,52055,9967,2351627,4782940,3747162,443,1,1027020,649740,9267,31510,4496,13355,18288,3805,3876,4058,4052,3028,516667,"30-04-2023 19:07:57","30-04-2023 20:10:02"
12259,10022,54145,10318,2439354,4782940,3883022,470,1,1062409,673531,9601,32747,4663,13871,19026,3933,4075,4243,4191,3151,538980,"30-04-2023 19:13:57","30-04-2023 20:15:02"
12259,10192,55178,10533,2483174,4782940,3951337,477,1,1080073,684842,9725,33390,4750,14127,19396,4015,4171,4304,4267,3203,550723,"30-04-2023 19:17:56","30-04-2023 20:20:02"
12259,10349,56141,10773,2523620,4782940,4014185,488,1,1096459,695726,9834,33936,4824,14366,19770,4064,4262,4365,4356,3256,561000,"30-04-2023 19:21:57","30-04-2023 20:25:02"
12259,10639,57968,11094,2599013,4782940,4130480,495,1,1126541,715507,10062,34999,4996,14816,20424,4158,4415,4505,4484,3366,581383,"30-04-2023 19:27:57","30-04-2023 20:30:02"
12259,10891,59501,11431,2664412,4782940,4231163,500,1,1151644,733268,10331,35991,5125,15180,21017,4256,4546,4597,4610,3458,598957,"30-04-2023 19:33:57","30-04-2023 20:35:02"
12259,11123,60982,11754,2725598,4782940,4324434,509,1,1176055,749691,10566,36868,5228,15543,21623,4360,4685,4711,4722,3533,615062,"30-04-2023 19:37:57","30-04-2023 20:40:03"
12259,11308,62144,11949,2773522,4782940,4398405,528,1,1194553,762579,10699,37649,5325,15806,22065,4441,4777,4786,4815,3580,627826,"30-04-2023 19:43:57","30-04-2023 20:45:02"
12259,11397,62751,12057,2796895,4782940,4434233,541,1,1203843,768980,10797,37970,5370,15943,22272,4479,4816,4827,4861,3609,633779,"30-04-2023 19:47:57","30-04-2023 20:50:03"
12259,11549,63712,12243,2836657,4782940,4495274,547,1,1219008,780528,10920,38575,5447,16160,22624,4555,4894,4890,4936,3653,643965,"30-04-2023 19:53:57","30-04-2023 20:55:02"
